एसआर	शब्दों
135	के जैसा लगना
136	दिखावट
137	सेब
138	आवेदन पत्र
139	लागू
140	नियुक्ति
141	सराहना
142	दृष्टिकोण
143	उचित
144	अनुमोदन
145	मंजूर
146	लगभग
147	अप्रैल
148	आर्किटेक्ट
149	वास्तुकला
150	क्षेत्र
151	बहस करना
152	बहस
153	उठना
154	बाजू
155	हथियारबंद
156	हथियारों
157	सेना
158	चारों ओर
159	व्यवस्थित करना
160	व्यवस्था
161	गिरफ़्तार करना
162	आगमन
163	पहुँचना
164	कला
165	लेख
166	कृत्रिम
167	कलाकार
168	कलात्मक
169	जैसा
170	शर्मिंदा
171	सोना
172	पूछना
173	पहलू
174	आकलन
175	मूल्यांकन
176	कार्यभार
177	सहायता देना
178	सहायक
179	संबंद्ध करना
180	संबद्ध
181	संगठन
182	मान लेना
183	पर
184	धावक
185	वायुमंडल
186	संलग्न करना
187	हमला
188	कोशिश करना
189	शामिल होना
190	ध्यान
191	रवैया
192	आकर्षित
193	आकर्षण
194	आकर्षक
195	श्रोता
196	अगस्त
197	चाची
198	लेखक
199	प्राधिकरण
200	पतझड़
201	उपलब्ध
202	औसत
203	बचना
204	पुरस्कार
205	अवगत
206	दूर
207	भयंकर
208	शिशु
209	पीछे
210	पार्श्वभूमि
211	पीछे की ओर
212	जीवाणु
213	बुरा
214	बुरी तरह
215	थैला
216	सेंकना
217	संतुलन
218	गेंद
219	प्रतिबंध
220	केला
221	बैंड
222	बैंक (पैसा)
223	बैंक (नदी)
224	छड़
225	रुकावट
226	आधार
227	बेसबॉल
228	आधारित
229	बास्केटबाल
230	बुनियादी
231	मूल रूप से
232	आधार
233	स्नान
234	स्नानघर
235	बैटरी
236	युद्ध
237	होना
238	सागरतट
239	सेम
240	भालू (सौदा)
241	भालू जानवर)
242	हराना
243	सुंदर
244	सुंदरता
245	इसलिये
246	बनना
247	बिस्तर
248	शयनकक्ष
249	मधुमक्खी
250	गौमांस
251	बीयर
252	इससे पहले
253	निवेदन करना
254	शुरू करना
255	शुरुआत
256	ठीक से व्यवहार करना
257	व्‍यवहार
258	पीछे
259	प्राणी
260	विश्वास
261	मानना
262	घंटी
263	संबंधित होना
264	नीचे
265	बेल्ट
266	झुकना
267	फायदा
268	झुका हुआ
269	श्रेष्ठ
270	शर्त
271	बेहतर
272	के बीच
273	आगे
274	साइकिल
275	बड़ा
276	साइकिल
277	बिल
278	अरब संख्या
279	बिन
280	जीवविज्ञान
281	चिड़िया
282	जन्म
283	जन्मदिन
284	बिस्कुट
285	काटा
286	दांत से काटना
287	कसैला
288	काला
289	आरोप
290	खाली
291	अंधा
292	खंड मैथा
293	ब्लॉग
294	गोरा
295	रक्त
296	फुंक मारा
297	नीला
298	मंडल
299	नाव
300	तन
301	उबलना
302	बम
303	गहरा संबंध
304	हड्डी
305	किताब
306	गाड़ी की डिक्की
307	सीमा
308	ऊबा हुआ
309	उबाऊ
310	पैदा होना
311	उधार
312	रोब जमाना
313	दोनों
314	परेशान करना
315	बोतल
316	नीचे
317	कटोरा
318	डिब्बा
319	लड़का
320	दोस्त
321	दिमाग
322	शाखा
323	ब्रैंड
324	बहादुर
325	रोटी
326	टूटना
327	सुबह का नाश्ता
328	स्तन
329	सांस
330	साँस लेना
331	सांस लेना
332	दुल्हन
333	पुल
334	संक्षिप्त
335	चमकदार
336	बहुत खूब
337	लाओ
338	चौड़ा
339	प्रसारण
340	टूटी हुई
341	भाई
342	भूरा
343	ब्रश
344	बुलबुला
345	बजट
346	बनाना
347	इमारत
348	गोली
349	गुच्छा
350	जलाना
351	दफ़नाना
352	बस
353	झाड़ी
354	व्यापार
355	व्यवसायी
356	व्यस्त
357	लेकिन
358	मक्खन
359	बटन
360	खरीदना
361	द्वारा
362	अलविदा
363	केबल
364	कैफ़े
365	केक
366	calculate
367	बुलाना
368	शांत
369	कैमरा
370	शिविर
371	अभियान
372	डेरा डालना
373	कैंपस
374	can1
375	can2
376	रद्द करना
377	कैंसर
378	उम्मीदवार
379	नही सकता
380	टोपी
381	योग्य
382	क्षमता
383	राजधानी
384	कप्तान
385	कब्जा
386	गाड़ी
387	कार्ड
388	ध्यान
389	करियर
390	सावधान
391	सावधानी से
392	लापरवाह
393	कालीन
394	गाजर
395	ले जाना
396	कार्टून
397	मामला
398	नकद
399	फेंकना
400	किला
401	बिल्ली
402	पकड़
403	श्रेणी
404	कारण
405	सीडी
406	छत
407	जश्न
408	उत्सव
409	सेलिब्रिटी
410	कक्ष
411	प्रतिशत
412	केंद्रीय
413	केंद्र
414	सदी
415	समारोह
416	निश्चित
417	निश्चित रूप से
418	जंजीर
419	कुर्सी
420	अध्यक्ष
421	चुनौती
422	चैंपियन
423	मोका
424	परिवर्तन
425	चैनल
426	अध्याय
427	चरित्र
428	विशेषता
429	शुल्क
430	दान पुण्य
431	चार्ट
432	बात करना
433	सस्ता
434	धोखा
435	जांच
436	बावर्ची
437	हंसमुख
438	पनीर
439	रासायनिक
440	रसायन विज्ञान
441	छाती
442	मुर्गा
443	मुखिया
444	बच्चा
445	बचपन
446	टुकड़ा
447	चॉकलेट
448	पसंद
449	चुनें
450	गिरजाघर
451	सिगरेट
452	सिनेमा
453	घेरा
454	परिस्थिति
455	अदालत में तलब करना
456	नागरिक
457	शहर
458	नागरिक
459	दावा
460	कक्षा
461	क्लासिक
462	क्लासिक
463	कक्षा
464	धारा
465	स्वच्छ
466	स्पष्ट
467	स्पष्ट रूप से
468	चतुर
469	क्लिक
470	ग्राहक
471	जलवायु
472	चढना
473	घड़ी
474	करीब1
475	करीब2
476	बंद किया हुआ
477	निकट से
478	कपड़ा
479	कपड़े
480	कपड़े
481	बादल
482	क्लब
483	संकेत
484	प्रशिक्षक
485	कोयला
486	तट
487	परत
488	कोड
489	कॉफ़ी
490	सिक्का
491	ठंडा
492	गिर जाना
493	साथ काम करने वाला
494	इकट्ठा करना
495	संग्रह
496	कॉलेज
497	रंग
498	रंगीन
499	कॉलम
500	संयोजन
501	जोड़ना
502	आइए
503	कॉमेडी
504	आराम
505	आरामदेह
506	आज्ञा
507	टिप्पणी
508	व्यावसायिक
509	आयोग
510	वादा करना
511	प्रतिबद्धता
512	समिति
513	सामान्य
514	आमतौर पर
515	बातचीत करना
516	संचार
517	समुदाय
518	कंपनी
519	तुलना करना
520	तुलना
521	पूरा
522	मुकाबला
523	प्रतियोगी
524	प्रतिस्पर्द्धी
525	शिकायत करना
526	शिकायत
527	पूरा
528	पूरी तरह
529	जटिल
530	उलझा हुआ
531	अवयव
532	संगणक
533	ध्यान केंद्रित करना
534	एकाग्रता
535	संकल्पना
536	चिंता
537	सम्बंधित
538	संगीत समारोह
539	निष्कर्ष निकालना
540	निष्कर्ष
541	स्थि‍ति
542	आचरण
543	सम्मेलन
544	आत्मविश्वास
545	आत्मविश्वासी
546	पुष्टि करें
547	टकराव
548	भ्रमित
549	अस्पष्ट
550	भ्रामक
551	जुडिये
552	जुड़े हुए
553	संबंध
554	सचेत
555	परिणाम
556	अपरिवर्तनवादी
557	विचार करना
558	सोच-विचार
559	निहित होना
560	लगातार
561	लगातार
562	लगातार
563	निर्माण
564	निर्माण
565	उपभोग करना
566	उपभोक्ता
567	संपर्क Ajay करें
568	शामिल होना
569	पात्र
570	समकालीन
571	सामग्री1
572	प्रतियोगिता
573	संदर्भ
574	महाद्वीप
575	जारी रखें
576	निरंतर
577	अनुबंध
578	अंतर
579	योगदान देना
580	योगदान
581	नियंत्रण
582	सुविधाजनक
583	बातचीत
584	बदलना
585	मनवाना
586	राज़ी
587	रसोइया
588	कुकर
589	खाना बनाना
590	ठंडा
591	प्रतिलिपि
592	सार
593	कोना
594	निगमित
595	सही
596	सही ढंग से
597	लागत
598	पोशाक
599	झोपड़ी
600	कपास
601	सकता है
602	परिषद
603	गिनती करना
604	देश
605	ग्रामीण क्षेत्र
606	काउंटी
607	जोड़ा
608	साहस
609	पाठ्यक्रम
610	कोर्ट
611	चचेरा भाई
612	ढकना
613	ढका हुआ
614	गाय
615	टकरा जाना
616	पागल
617	मलाई
618	सृजन करना
619	निर्माण
620	रचनात्मक
621	जंतु
622	श्रेय
623	कर्मी दल
624	अपराध
625	आपराधिक
626	संकट
627	मापदंड
628	समीक्षक
629	नाजुक
630	आलोचना
631	आलोचना करना
632	काटना
633	पार
634	जन सैलाब
635	भीड़-भाड़ वाला
636	महत्वपूर्ण
637	निर्दयी
638	रोना
639	सांस्कृतिक
640	संस्कृति
641	कप
642	अलमारी
643	इलाज
644	घुँघराले
645	मुद्रा
646	वर्तमान
647	वर्तमान में
648	परदा
649	वक्र
650	वक्र
651	रीति
652	ग्राहक
653	कट गया
654	चक्र
655	पापा
656	रोज
657	क्षति
658	नृत्य
659	नर्तकी
660	नृत्य
661	खतरा
662	खतरनाक
663	अँधेरा
664	जानकारी
665	दिनांक
666	बेटी
667	दिन
668	मृत
669	सौदा
670	प्रिय
671	मौत
672	बहस
673	का कर्ज
674	दशक
675	दिसंबर
676	शालीन
677	तय करना
678	फेसला
679	घोषित
680	पतन
681	को सजाये
682	सजावट
683	कमी
684	गहरा
685	गहरा
686	हार
687	रक्षा
688	रक्षा करना
689	परिभाषित करना
690	निश्चित
691	निश्चित रूप से
692	परिभाषा
693	डिग्री
694	देरी
695	सोचा-समझा
696	जान - बूझकर
697	स्वादिष्ट
698	आनंद
699	प्रसन्न
700	बाँटना
701	वितरण
702	मांग
703	दिखाना
704	दंत चिकित्सक
705	अस्वीकार करना
706	विभाग
707	प्रस्थान
708	निर्भर करना
709	अवसादग्रस्त
710	दबाकर
711	गहराई
712	वर्णन करना
713	विवरण
714	रेगिस्तान
715	योग्य होना
716	डिजाईन
717	डिजाइनर
718	इच्छा
719	मेज़
720	बेकरार
721	इसके बावजूद
722	गंतव्य
723	नष्ट करना
724	विवरण
725	विस्तृत
726	पता लगाना
727	जासूसी
728	ठानना
729	निर्धारित
730	विकास करना
731	विकास
732	उपकरण
733	आरेख
734	वार्ता
735	हीरा
736	डायरी
737	शब्दकोश
738	मरना
739	आहार
740	अंतर
741	विभिन्न
742	अलग ढंग से
743	कठिन
744	कठिनाई
745	गड्ढा करना
746	डिजिटल
747	रात का खाना
748	प्रत्यक्ष
749	दिशा
750	सीधे
751	निर्देशक
752	गंध
753	गंदा
754	जिले क्रियाविशेषण
755	असहमत
756	गायब होना
757	निराश
758	निराशाजनक
759	आपदा
760	डिस्क
761	अनुशासन
762	छूट
763	खोज करना
764	खोज
765	चर्चा करें
766	बहस
767	बीमारी
768	व्यंजन
769	बेईमान
770	नापसन्द
771	नकार देना
772	दिखाना
773	दूरी
774	बांटो
775	वितरण
776	जिला Seoni
777	विभाजित करना
778	विभाजन
779	तलाकशुदा
780	do1
781	चिकित्सक
782	दस्तावेज़
783	दस्तावेज़ी
784	कुत्ता
785	डॉलर
786	घरेलू
787	हावी होना
788	दान करना
789	द्वार
790	दोहरा
791	_
792	शक
793	नीचे
794	डाउनलोड
795	सीढ़ी के नीचे
796	नीचे की ओर
797	दर्जन
798	प्रारूप
799	खींचें
800	नाटक
801	नाटकीय
802	चित्र बनाना
803	चित्रकारी
804	सपना
805	पोशाक
806	सजे
807	पीना
808	चलाना
809	चालक
810	ड्राइविंग
811	बूंद
812	दवा
813	ड्रम
814	पिया हुआ
815	सूखा
816	बकाया
817	दौरान
818	धूल
819	कर्तव्य
820	डीवीडी
821	प्रत्येक
822	कान
823	जल्दी
824	कमाना
825	धरती
826	भूकंप
827	सरलता
828	पूर्व
829	पूर्व का
830	आसान
831	खाना खा लो
832	आर्थिक
833	अर्थव्यवस्था
834	किनारा
835	संपादन करना
836	संस्करण
837	संपादक
838	शिक्षित
839	शिक्षित
840	शिक्षा
841	शिक्षात्मक
842	प्रभाव
843	प्रभावी
844	प्रभावी रूप से
845	दक्ष
846	कोशिश
847	अंडा
848	आठ
849	अठारह
850	अस्सी
851	या
852	बुज़ुर्ग
853	इलेक्ट्रोनिक
854	चुनाव
855	बिजली
856	विद्युतीय
857	बिजली
858	इलेक्ट्रोनिक
859	तत्व
860	हाथी
861	ग्यारह
862	वरना
863	कहीं
864	ईमेल
865	शर्मिंदा
866	शर्मिंदा करने वाला
867	उभरना
868	आपातकालीन
869	भावना
870	भावनात्मक
871	ज़ोर
872	ज़ोर देना
873	काम
874	कर्मचारी
875	नियोक्ता
876	रोज़गार
877	खाली
878	सक्षम करना
879	मुठभेड़
880	प्रोत्साहित करना
881	समाप्त
882	समापन
883	शत्रु
884	ऊर्जा
885	व्यस्त रखना
886	व्यस्त
887	यन्त्र
888	इंजीनियर
889	अभियांत्रिकी
890	बढ़ाना
891	का आनंद लें
892	विशाल
893	पर्याप्त
894	जाँच करना
895	सुनिश्चित करना
896	प्रवेश करना
897	मनोरंजन
898	मनोरंजन
899	जोश
900	उत्साही
901	संपूर्ण
902	पूरी तरह से
903	प्रवेश
904	प्रवेश
905	वातावरण
906	पर्यावरण
907	प्रकरण
908	बराबर
909	समान रूप से
910	उपकरण
911	गलती
912	बच निकलना
913	विशेषकर
914	निबंध
915	ज़रूरी
916	स्थापित करना
917	जागीर
918	आकलन
919	नैतिक
920	यूरो
921	मूल्यांकन करना
922	यहाँ तक की
923	शाम
924	प्रतिस्पर्धा
925	आखिरकार
926	कभी
927	हर एक
928	हर कोई
929	हर दिन
930	हर कोई
931	हर चीज़
932	हर जगह
933	प्रमाण
934	बुराई
935	सटीक
936	बिल्कुल
937	परीक्षा
938	इंतिहान
939	की जांच
940	उदाहरण
941	अति उत्कृष्ट
942	के अलावा
943	लेन देन
944	उत्तेजित
945	उत्साह
946	रोमांचक
947	बहाना
948	कार्यपालक
949	व्यायाम
950	प्रदर्शनी
951	मौजूद
952	अस्तित्व
953	विस्तार
954	अपेक्षा करना
955	अपेक्षा
956	अपेक्षित होना
957	अभियान
958	व्यय
959	महंगा
960	अनुभव
961	अनुभव
962	प्रयोग
963	विशेषज्ञ
964	समझाना
965	व्याख्या
966	विस्फोट
967	अन्वेषण
968	अन्वेषण करना
969	विस्फोट
970	निर्यात करना
971	खुलासा
972	अभिव्यक्त करना
973	अभिव्यक्ति
974	बढ़ाना
975	क्षेत्र
976	बाहरी
977	अतिरिक्त
978	असाधारण
979	चरम
980	बहुत ज़्यादा
981	आँख
982	चेहरा
983	सुविधा
984	तथ्य
985	कारक
986	कारखाना
987	विफल
988	असफलता
989	निष्पक्ष
990	अच्छी तरह से
991	आस्था
992	गिरना
993	असत्य
994	परिचित
995	परिवार
996	प्रसिद्ध
997	प्रशंसक
998	कल्पना
999	ज़बरदस्त
1000	दूर
1001	खेत
1002	किसान
1003	खेती
1004	चित्ताकर्षक
1005	फ़ैशन
1006	फैशनेबल
1007	तेज़
1008	जकड़ना
1009	मोटा
1010	पिता
1011	दोष
1012	एहसान
1013	पसंदीदा
1014	डर
1015	पंख
1016	विशेषता
1017	फ़रवरी
1018	शुल्क
1019	चारा
1020	प्रतिक्रिया
1021	अनुभव करना
1022	भावना
1023	साथी
1024	महिला
1025	बाड़
1026	त्योहार
1027	कुछ
1028	उपन्यास
1029	खेत
1030	पंद्रह
1031	पांचवां
1032	पचास
1033	लड़ाई
1034	लड़ाई करना
1035	आकृति
1036	फ़ाइल
1037	भरना
1038	पतली परत
1039	अंतिम
1040	आखिरकार
1041	वित्त
1042	वित्तीय
1043	पाना
1044	खोज
1045	ठीक
1046	उँगलिया
1047	समाप्त
1048	आग
1049	दृढ़
1050	पहला
1051	पहले तो
1052	मछली
1053	मछली पकड़ने
1054	उपयुक्त
1055	स्वास्थ्य
1056	पांच
1057	हल करना
1058	हल किया गया
1059	झंडा
1060	ज्योति
1061	चमक
1062	समतल
1063	लचीला
1064	उड़ान
1065	पानी पर तैरना
1066	बाढ़
1067	मंज़िल
1068	आटा
1069	बहे
1070	फूल
1071	बुखार
1072	उड़ना
1073	फ्लाइंग
1074	केंद्र
1075	तह
1076	तह
1077	लोक
1078	पालन ​​करना
1079	निम्नलिखित
1080	भोजन
1081	पैर
1082	फ़ुटबॉल
1083	के लिये
1084	ताकत
1085	विदेशी
1086	वन
1087	उम्र भर
1088	भूल जाओ
1089	माफ़ करना
1090	काँटा
1091	प्रपत्र
1092	औपचारिक
1093	भूतपूर्व
1094	सौभाग्य से
1095	सौभाग्य
1096	चालीस
1097	आगे
1098	मिल गया
1099	चार
1100	चौदह
1101	चौथी
1102	चौखटा
1103	नि: शुल्क
1104	स्वतंत्रता
1105	जमाना
1106	आवृत्ति
1107	बार-बार
1108	ताज़ा
1109	शुक्रवार
1110	फ़्रिज
1111	दोस्त
1112	दोस्ताना
1113	मित्रता
1114	डराना
1115	भयभीत
1116	डरावना
1117	मेंढक
1118	से
1119	सामने
1120	जमा हुआ
1121	फल
1122	तलना
1123	ईंधन
1124	भरा हुआ
1125	पूरी तरह से
1126	मज़ा
1127	समारोह
1128	निधि
1129	मौलिक
1130	वित्त पोषण
1131	मज़ेदार
1132	छाल
1133	फर्नीचर
1134	आगे
1135	आगे
1136	भविष्य
1137	बढ़त
1138	गेलरी
1139	खेल
1140	गिरोह
1141	अंतर
1142	गराज
1143	बगीचा
1144	गैस
1145	दरवाज़ा
1146	इकट्ठा करना
1147	सामान्य
1148	आम तौर पर
1149	बनाना
1150	पीढ़ी
1151	उदार
1152	शैली
1153	सज्जन
1154	सज्जन
1155	भूगोल
1156	प्राप्त
1157	भूत
1158	बहुत बड़ा
1159	उपहार
1160	लड़की
1161	दोस्त
1162	देना
1163	प्रसन्न
1164	कांच
1165	वैश्विक
1166	दस्ताना
1167	जाओ
1168	लक्ष्य
1169	परमेश्वर
1170	सोना
1171	गोल्फ़
1172	अच्छा
1173	अलविदा
1174	चीज़ें
1175	को नियंत्रित करने वाले
1176	सरकार
1177	लपकना
1178	श्रेणी
1179	धीरे-धीरे
1180	स्नातक
1181	अनाज
1182	बड़ा
1183	दादा
1184	दादी मा
1185	दादा-दादी
1186	देना
1187	घास
1188	आभारी
1189	महान
1190	हरा
1191	नमस्कार
1192	स्लेटी
1193	मैदान
1194	समूह
1195	बढ़ना
1196	वृद्धि
1197	गारंटी
1198	रक्षक
1199	अनुमान लगाना
1200	अतिथि
1201	मार्गदर्शक
1202	अपराधी
1203	गिटार
1204	बंदूक
1205	लोग
1206	जिम
1207	आदत
1208	केश
1209	आधा
1210	बड़ा कमरा
1211	हाथ
1212	सँभालना
1213	टांगना
1214	होना
1215	आनंद से
1216	ख़ुशी
1217	प्रसन्न
1218	कठिन
1219	मुश्किल से
1220	नुकसान पहुँचाना
1221	हानिकारक
1222	टोपी
1223	नफ़रत करना
1224	पास होना
1225	मोडल करना है
1226	वह
1227	सिर
1228	सरदर्द
1229	शीर्षक
1230	स्वास्थ्य
1231	स्वस्थ
1232	सुनो
1233	सुनवाई
1234	हृदय
1235	गर्मी
1236	गरम करना
1237	स्वर्ग
1238	भारी
1239	अधिक वज़नदार
1240	एड़ी
1241	कद
1242	हेलीकॉप्टर
1243	नरक
1244	नमस्ते
1245	मदद करना
1246	मददगार
1247	उसकी
1248	यहां
1249	नायक
1250	उसकी
1251	स्वयं
1252	संकोच करना
1253	अरे
1254	नमस्ते
1255	छिपाना
1256	उच्च
1257	प्रमुखता से दिखाना
1258	अत्यधिक
1259	पहाड़ी
1260	उसे
1261	वह स्वयं
1262	किराये पर लेना
1263	उसके
1264	ऐतिहासिक
1265	ऐतिहासिक
1266	इतिहास
1267	मारो
1268	शौक
1269	हॉकी
1270	पकड़
1271	छेद
1272	छुट्टी का दिन
1273	खोखला
1274	पवित्र
1275	घर
1276	गृहकार्य
1277	ईमानदार
1278	सम्मान
1279	आशा
1280	भयंकर
1281	डरावना
1282	घोड़ा
1283	अस्पताल
1284	मेज़बान
1285	गरम
1286	होटल
1287	घंटा
1288	मकान
1289	परिवार
1290	आवास
1291	कैसे
1292	हालांकि
1293	विशाल
1294	मानव
1295	रस लेनेवाला
1296	हास्य
1297	सौ
1298	भूखा
1299	शिकार करना
1300	शिकार करना
1301	चक्रवात
1302	जल्दी कीजिये
1303	आहत
1304	पति
1305	मैं
1306	बर्फ
1307	आइसक्रीम
1308	विचार
1309	आदर्श
1310	पहचानना
1311	पहचान
1312	यदि
1313	नज़रअंदाज़ करना
1314	बीमार
1315	गैरकानूनी
1316	बीमारी
1317	उदाहरण देकर स्पष्ट करना
1318	चित्रण
1319	छवि
1320	काल्पनिक
1321	कल्पना
1322	कल्पना करना
1323	तुरंत
1324	तुरंत
1325	आप्रवासी
1326	प्रभाव
1327	बेताब
1328	मतलब
1329	आयात
1330	महत्त्व
1331	महत्वपूर्ण
1332	थोपना
1333	असंभव
1334	प्रभावित करना
1335	प्रभावित किया
1336	प्रभाव जमाना
1337	प्रभावशाली
1338	सुधारें
1339	सुधार
1340	में
1341	इंच
1342	घटना
1343	शामिल
1344	शामिल
1345	समेत
1346	आय
1347	बढ़ोतरी
1348	तेजी से
1349	अविश्वसनीय
1350	अविश्वसनीय रूप से
1351	वास्तव में
1352	स्वतंत्र
1353	संकेत देना
1354	अप्रत्यक्ष
1355	व्यक्तिगत
1356	घर के अंदर
1357	घर के अंदर
1358	औद्योगिक
1359	उद्योग
1360	संक्रमण
1361	प्रभाव
1362	बताना
1363	अनौपचारिक
1364	जानकारी
1365	घटक
1366	शुरुआती
1367	शुरू में
1368	पहल
1369	घायल
1370	चोट खाया हुआ
1371	चोट
1372	भीतरी
1373	मासूम
1374	कीड़ा
1375	अंदर
1376	अंतर्दृष्टि
1377	ज़ोर देना
1378	प्रेरित करना
1379	इंस्टॉल
1380	उदाहरण
1381	बजाय
1382	संस्था
1383	संस्थान
1384	अनुदेश
1385	प्रशिक्षक
1386	वाद्य यंत्र
1387	बीमा
1388	बुद्धि
1389	बुद्धिमान
1390	इरादा रखना
1391	अभीष्ट
1392	गहन
1393	इरादा
1394	रुचि
1395	दिलचस्पी लेने वाला
1396	दिलचस्प
1397	आंतरिक
1398	अंतरराष्ट्रीय
1399	इंटरनेट
1400	व्याख्या करना
1401	रुकावट डालना
1402	साक्षात्कार
1403	में
1404	परिचय देना
1405	परिचय
1406	आविष्कार करना
1407	आविष्कार
1408	निवेश करना
1409	छान - बीन करना
1410	जाँच पड़ताल
1411	निवेश
1412	आमंत्रण
1413	आमंत्रित करना
1414	शामिल होना
1415	शामिल
1416	लोहा
1417	द्वीप
1418	मुद्दा
1419	यह
1420	यह
1421	वस्तु
1422	इसका
1423	अपने आप
1424	जैकेट
1425	जाम
1426	जनवरी
1427	जाज
1428	जीन्स
1429	आभूषण
1430	काम
1431	जोड़ना
1432	मज़ाक
1433	पत्रिका
1434	पत्रकार
1435	सफ़र
1436	हर्ष
1437	न्यायाधीश
1438	प्रलय
1439	रस
1440	जुलाई
1441	कूदना
1442	जून
1443	कनिष्ठ
1444	अभी-अभी
1445	न्याय
1446	न्यायोचित ठहराना
1447	उत्सुक
1448	रखना
1449	चाभी
1450	कीबोर्ड
1451	लात
1452	बच्चा
1453	मारना
1454	मारना
1455	किलोमीटर
1456	दयालु प्रकार का)
1457	दयालु (देखभाल)
1458	राजा
1459	चुम्मा
1460	रसोईघर
1461	घुटना
1462	चाकू
1463	दस्तक
1464	जानना
1465	ज्ञान
1466	प्रयोगशाला
1467	लेबल
1468	प्रयोगशाला
1469	श्रम
1470	कमी
1471	महिला
1472	झील
1473	दीपक
1474	भूमि
1475	परिदृश्य
1476	भाषा: हिन्दी
1477	लैपटॉप
1478	विशाल
1479	काफी हद तक
1480	अंतिम1 (अंतिम)
1481	last1 (समय ले रहा है)
1482	स्वर्गीय
1483	बाद में
1484	नवीनतम
1485	हंसना
1486	हँसी
1487	प्रक्षेपण
1488	कानून
1489	वकील
1490	धूल में मिलना
1491	परत
1492	आलसी
1493	सीसा1
1494	नेता
1495	नेतृत्व
1496	प्रमुख
1497	पत्ती
1498	संघ
1499	दुबला
1500	सीखना
1501	सीख रहा हूँ
1502	कम से कम
1503	चमड़ा
1504	छुट्टी
1505	भाषण
1506	बाएं
1507	टांग
1508	कानूनी
1509	फुर्सत
1510	नींबू
1511	उधार देना
1512	लंबाई
1513	कम
1514	पाठ
1515	होने देना
1516	पत्र
1517	स्तर
1518	पुस्तकालय
1519	लाइसेंस
1520	झूठ1
1521	झूठ 2 (झूठ बोलो)
1522	जिंदगी
1523	जीवन शैली
1524	उठाना
1525	प्रकाश (सूर्य/दीपक से)
1526	हल्का (भारी नहीं)
1527	जैसे (समान)
1528	पसंद (एसबी / एसटीएच सुखद खोजें)
1529	एन।
1530	संभावित
1531	सीमा
1532	सीमित
1533	रेखा
1534	संपर्क
1535	सिंह
1536	ओंठ
1537	तरल
1538	सूची
1539	सुनना
1540	श्रोता
1541	साहित्य
1542	थोड़ा
1543	live1
1544	live2
1545	जीवंत
1546	जीविका
1547	भार
1548	ऋृण
1549	स्थानीय
1550	का पता लगाने
1551	स्थित
1552	स्थान
1553	ताला
1554	तार्किक
1555	अकेला
1556	long1
1557	दीर्घकालिक
1558	देखना
1559	ढीला
1560	भगवान
1561	लॉरी
1562	खोना
1563	हानि
1564	गुम हो गया
1565	बहुत
1566	ऊँचा स्वर
1567	जोर जोर
1568	प्यार
1569	प्यारा
1570	कम
1571	निचला
1572	भाग्य
1573	भाग्यशाली
1574	दोपहर का भोजन
1575	फेफड़ा
1576	विलासिता
1577	मशीन
1578	पागल
1579	पत्रिका
1580	जादू
1581	मेल
1582	मुख्य
1583	में मुख्य
1584	बनाए रखना
