Sr	Mots
623	équipage
624	la criminalité
625	criminel
626	crise
627	critère
628	critique
629	critique
630	critique
631	critiquer
632	recadrer
633	traverser
634	foule
635	bondé
636	crucial
637	cruel
638	cri
639	culturel
640	Culture
641	Coupe
642	armoire
643	soigner
644	frisé
645	devise
646	courant
647	actuellement
648	rideau
649	courbe
650	incurvé
651	Douane
652	client
653	Couper
654	cycle
655	papa
656	du quotidien
657	dégâts
658	Danse
659	Danseur
660	dansant
661	danger
662	dangereux
663	foncé
664	Les données
665	Date
666	la fille
667	journée
668	morte
669	accord
670	chère
671	décès
672	débat
673	dette
674	décennie
675	Décembre
676	décent
677	décider
678	décision
679	déclarer
680	déclin
681	décorer
682	décoration
683	diminuer
684	Profond
685	profondément
686	défaite
687	la défense
688	défendre
689	définir
690	précis
691	absolument
692	définition
693	diplôme
694	retard
695	volontaire
696	délibérément
697	délicieuse
698	plaisir
699	ravi
700	livrer
701	livraison
702	demande
703	démontrer
704	dentiste
705	Nier
706	département
707	Départ
708	dépendre
709	déprimé
710	déprimant
711	profondeur
712	décris
713	la description
714	désert
715	mériter
716	motif
717	designer
718	désir
719	bureau
720	désespéré
721	en dépit
722	destination
723	détruire
724	détail
725	détaillé
726	détecter
727	détective
728	déterminer
729	déterminé
730	développer
731	développement
732	dispositif
733	diagramme
734	dialogue
735	diamant
736	agenda
737	dictionnaire
738	mourir
739	diète
740	différence
741	différent
742	différemment
743	difficile
744	difficulté
745	creuser
746	numérique
747	dîner
748	direct
749	direction
750	directement
751	directeur
752	saleté
753	sale
754	Dis Adverbantage
755	être en désaccord
756	disparaître
757	désappointé
758	décevant
759	un sinistre
760	disque
761	la discipline
762	remise
763	découvrir
764	Découverte
765	discuter
766	discussion
767	maladie
768	assiette
769	malhonnête
770	Ne pas aimer
771	rejeter
772	affichage
773	distance
774	distribuer
775	Distribution
776	district
777	diviser
778	division
779	divorcé
780	faire1
781	docteur
782	document
783	documentaire
784	chien
785	dollar
786	domestique
787	dominer
788	faire un don
789	porte
790	double
791	_
792	doute
793	vers le bas
794	Télécharger
795	en bas
796	vers le bas
797	douzaine
798	Brouillon
799	glisser
800	drame
801	spectaculaire
802	dessiner
803	dessin
804	rêver
805	robe
806	habillé
807	boisson
808	conduire
809	chauffeur
810	conduite
811	goutte
812	médicament
813	tambouriner
814	ivre
815	sec
816	exigible
817	durant
818	poussière
819	devoir
820	DVD
821	chaque
822	oreille
823	tôt
824	gagner
825	la terre
826	tremblement de terre
827	facilement
828	est
829	est
830	facile
831	manger
832	économique
833	économie
834	bord
835	Éditer
836	édition
837	éditeur
838	éduquer
839	éduqué
840	éducation
841	éducatif
842	effet
843	efficace
844	effectivement
845	efficace
846	effort
847	Oeuf
848	huit
849	dix-huit
850	quatre-vingt
851	Soit
852	âgé
853	élire
854	élection
855	électrique
856	électrique
857	électricité
858	électronique
859	élément
860	l'éléphant
861	Onze
862	autre
863	autre part
864	e-mail
865	embarrassé
866	gênant
867	émerger
868	urgence
869	émotion
870	émotionnel
871	accent
872	mettre l'accent sur
873	employer
874	employé
875	employeur
876	emploi
877	vide
878	activer
879	rencontre
880	encourager
881	fin
882	fin
883	ennemi
884	énergie
885	engager
886	engagé
887	moteur
888	ingénieur
889	ingénierie
890	améliorer
891	prendre plaisir
892	énorme
893	suffisant
894	demande
895	assurer
896	Entrer
897	divertir
898	divertissement
899	enthousiasme
900	enthousiaste
901	entier
902	entièrement
903	entrée
904	entrée
905	environnement
906	environnemental
907	épisode
908	égal
909	également
910	équipement
911	Erreur
912	échapper
913	surtout
914	rédaction
915	essentiel
916	mettre en place
917	domaine
918	estimation
919	éthique
920	euro
921	évaluer
922	même
923	soirée
924	un événement
925	finalement
926	déjà
927	tous
928	Tout le monde
929	tous les jours
930	tout le monde
931	tout
932	partout
933	preuve
934	mauvais
935	exact
936	exactement
937	examen
938	examen
939	examiner
940	Exemple
941	excellent
942	à l'exception
943	échanger
944	excité
945	excitation
946	passionnant
947	excuse
948	exécutif
949	exercer
950	exposition
951	exister
952	existence
953	développer
954	attendre
955	attente
956	attendu
957	expédition
958	frais
959	chere
960	vivre
961	expérimenté
962	expérience
963	expert
964	Explique
965	explication
966	exploser
967	exploration
968	explorer
969	explosion
970	exporter
971	exposer
972	Express
973	expression
974	se déployer
975	Le degré
976	externe
977	En plus
978	extraordinaire
979	extrême
980	extrêmement
981	œil
982	Visage
983	facilité
984	fait
985	facteur
986	usine
987	échouer
988	échec
989	équitable
990	équitablement
991	Foi
992	tomber
993	FAUX
994	familier
995	famille
996	célèbre
997	ventilateur
998	fantaisie
999	fantastique
1000	loin
1001	cultiver
1002	agriculteur
1003	agriculture
1004	fascinant
1005	mode
1006	à la mode
1007	vite
1008	boucler
1009	gros
1010	père
1011	défaut
1012	favoriser
1013	favori
1014	craindre
1015	la plume
1016	caractéristique
1017	Février
1018	frais
1019	nourrir
1020	retour d'information
1021	se sentir
1022	sentiment
1023	compagnon
1024	femelle
1025	clôture
1026	festival
1027	peu
1028	fiction
1029	champ
1030	quinze
1031	cinquième
1032	cinquante
1033	lutte
1034	lutte
1035	chiffre
1036	dossier
1037	remplir
1038	film
1039	final
1040	finalement
1041	finance
1042	financier
1043	trouver
1044	découverte
1045	bien
1046	doigt
1047	terminer
1048	Feu
1049	solidifier
1050	première
1051	d'abord
1052	poisson
1053	faire de la pêche
1054	adapter
1055	aptitude
1056	cinq
1057	réparer
1058	fixé
1059	drapeau
1060	flamme
1061	éclat
1062	appartement
1063	flexible
1064	voyage en avion
1065	flotteur
1066	inondation
1067	sol
1068	farine
1069	couler
1070	fleur
1071	grippe
1072	mouche
1073	en volant
1074	se concentrer
1075	plier
1076	pliant
1077	populaire
1078	suivre
1079	Suivant
1080	aliments
1081	le pied
1082	Football
1083	pour
1084	Obliger
1085	étranger
1086	forêt
1087	toujours
1088	Oubliez
1089	pardonner
1090	fourchette
1091	formulaire
1092	officiel
1093	ancien
1094	heureusement
1095	fortune
1096	quarante
1097	vers l'avant
1098	trouvé
1099	quatre
1100	Quatorze
1101	Quatrième
1102	Cadre
1103	libre
1104	liberté
1105	gel
1106	la fréquence
1107	fréquemment
1108	Frais
1109	Vendredi
1110	frigo
1111	ami
1112	amical
1113	relation amicale
1114	effrayer
1115	effrayé
1116	effrayant
1117	grenouille
1118	de
1119	de face
1120	congelé
1121	fruit
1122	frire
1123	le carburant
1124	plein
1125	pleinement
1126	amusement
1127	fonction
1128	fonds
1129	fondamental
1130	financement
1131	drôle
1132	fourrure
1133	meubles
1134	plus loin
1135	en outre
1136	avenir
1137	Gain
1138	Galerie
1139	Jeu
1140	gang
1141	écart
1142	garage
1143	jardin
1144	gaz
1145	portail
1146	rassembler
1147	général
1148	en général
1149	produire
1150	génération
1151	généreuse
1152	genre
1153	doux
1154	gentleman
1155	géographie
1156	obtenir
1157	fantôme
1158	géant
1159	cadeau
1160	fille
1161	petite amie
1162	donner
1163	content
1164	verre
1165	global
1166	gant
1167	aller
1168	objectif
1169	dieu
1170	or
1171	le golf
1172	bien
1173	au revoir
1174	des biens
1175	gouverne
1176	gouvernement
1177	saisir
1178	noter
1179	progressivement
1180	diplômé
1181	grain
1182	grandiose
1183	grand-père
1184	grand-mère
1185	grand-parent
1186	accorder
1187	herbe
1188	reconnaissant
1189	génial
1190	vert
1191	saluer
1192	gris
1193	terrain
1194	groupe
1195	grandir
1196	croissance
1197	garantie
1198	gardien
1199	deviner
1200	invité
1201	guide
1202	coupable
1203	guitare
1204	pistolet
1205	mec
1206	Gym
1207	habitude
1208	Cheveu
1209	demi
1210	salle
1211	main
1212	manipuler
1213	pendre
1214	se produire
1215	Heureusement
1216	Bonheur
1217	heureux
1218	dur
1219	à peine
1220	préjudice
1221	nuisible
1222	chapeau
1223	détester
1224	ont
1225	avoir à modal
1226	il
1227	tête
1228	mal de tête
1229	gros titre
1230	santé
1231	en bonne santé
1232	écouter
1233	audience
1234	cœur
1235	Chauffer
1236	chauffage
1237	paradis
1238	fortement
1239	lourd
1240	talon
1241	la taille
1242	hélicoptère
1243	enfer
1244	bonjour
1245	aider
1246	utile
1247	son
1248	ici
1249	héros
1250	la sienne
1251	se
1252	hésiter
1253	hé
1254	salut
1255	cacher
1256	haute
1257	souligner
1258	très
1259	colline
1260	lui
1261	lui-même
1262	embaucher
1263	le sien
1264	historique
1265	historique
1266	l'histoire
1267	succès
1268	loisir
1269	le hockey
1270	tenir
1271	trou
1272	vacance
1273	creux
1274	saint
1275	domicile
1276	devoirs
1277	honnête
1278	honneur
1279	espoir
1280	horrible
1281	horreur
1282	cheval
1283	hôpital
1284	héberger
1285	chaud
1286	Hôtel
1287	heure
1288	loger
1289	ménage
1290	logement
1291	comment
1292	toutefois
1293	énorme
1294	Humain
1295	humoristique
1296	humour
1297	cent
1298	faim
1299	chasse
1300	chasse
1301	ouragan
1302	dépêche toi
1303	blesser
1304	mari
1305	je
1306	la glace
1307	crème glacée
1308	idée
1309	idéal
1310	identité
1311	identité
1312	si
1313	ignorer
1314	malade
1315	illégal
1316	maladies
1317	illustrer
1318	illustration
1319	image
1320	imaginaire
1321	imagination
1322	imaginer
1323	immédiat
1324	immédiatement
1325	immigrant
1326	impact
1327	je suis patiente
1328	impliquer
1329	importer
1330	importance
1331	important
1332	imposer
1333	impossible
1334	impressionner
1335	impressionné
1336	impression
1337	Impressionant
1338	améliorer
1339	amélioration
1340	dans
1341	pouce
1342	incident
1343	comprendre
1344	inclus
1345	y compris
1346	le revenu
1347	augmenter
1348	de plus en plus
1349	incroyable
1350	incroyablement
1351	En effet
1352	indépendant
1353	indiquer
1354	indirect
1355	individuel
1356	intérieur
1357	à l'intérieur
1358	industriel
1359	industrie
1360	infection
1361	rayonnement
1362	informer
1363	informel
1364	informations
1365	ingrédient
1366	initial
1367	initialement
1368	initiative
1369	blesser
1370	blessée
1371	blessure
1372	intérieur
1373	innocent
1374	insecte
1375	à l'intérieur
1376	aperçu
1377	insister
1378	inspirer
1379	installer
1380	exemple
1381	Au lieu
1382	institut
1383	institution
1384	instruction
1385	instructeur
1386	instrument
1387	Assurance
1388	intelligence
1389	intelligente
1390	intention
1391	prévu
1392	intense
1393	intention
1394	intérêt
1395	intéressé
1396	intéressant
1397	interne
1398	international
1399	l'Internet
1400	interpréter
1401	couper la parole
1402	interview
1403	dans
1404	introduire
1405	introduction
1406	inventer
1407	invention
1408	investir
1409	enquêter
1410	enquête
1411	investissement
1412	invitation
1413	inviter
1414	impliquer
1415	impliqué
1416	le fer
1417	île
1418	publier
1419	CE
1420	ce
1421	Objet
1422	son
1423	lui-même
1424	veste
1425	Confiture
1426	Janvier
1427	le jazz
1428	jeans
1429	bijoux
1430	travail
1431	rejoindre
1432	plaisanter
1433	journal
1434	journaliste
1435	périple
1436	joie
1437	juge
1438	jugement
1439	jus
1440	Juillet
1441	saut
1442	Juin
1443	junior
1444	juste
1445	Justice
1446	justifier
1447	enthousiaste
1448	donjon
1449	clé
1450	clavier
1451	donner un coup
1452	enfant
1453	tuer
1454	meurtre
1455	kilomètre
1456	un type sympa)
1457	gentil (attentionné)
1458	Roi
1459	embrasser
1460	cuisine
1461	genou
1462	couteau
1463	frappe
1464	connaître
1465	connaissances
1466	laboratoire
1467	étiquette
1468	laboratoire
1469	travail
1470	manque
1471	la demoiselle
1472	Lac
1473	lampe
1474	terrain
1475	paysage
1476	Langue
1477	portable
1478	grand
1479	en grande partie
1480	dernier1 (finale)
1481	last1 (prendre du temps)
1482	en retard
1483	plus tard
1484	dernier
1485	rire
1486	rire
1487	lancement
1488	droit
1489	avocat
1490	allonger
1491	couche
1492	paresseux
1493	plomb1
1494	chef
1495	leadership
1496	premier
1497	feuille
1498	ligue
1499	maigre
1500	apprendre
1501	apprentissage
1502	moins
1503	cuir
1504	Pars
1505	conférence
1506	la gauche
1507	jambe
1508	juridique
1509	loisirs
1510	citron
1511	prêter
1512	longueur
1513	moins
1514	leçon
1515	laisser
1516	lettre
1517	niveau
1518	bibliothèque
1519	Licence
1520	mensonge1
1521	mensonge2 (dire un mensonge)
1522	la vie
1523	mode de vie
1524	lever
1525	lumière (du soleil/d'une lampe)
1526	léger (pas lourd)
1527	comme (semblable)
1528	aimer (trouver qn/qch agréable)
1529	n.m.
1530	probable
1531	limite
1532	limité
1533	ligne
1534	lien
1535	lion
1536	lèvre
1537	liquide
1538	liste
1539	Ecoutez
1540	auditeur
1541	Littérature
1542	peu
1543	en direct1
1544	en direct2
1545	animé
1546	vivant
1547	charger
1548	prêt
1549	local
1550	Localiser
1551	situé
1552	emplacement
1553	bloquer
1554	logique
1555	solitaire
1556	longue1
1557	long terme
1558	voir
1559	ample
1560	seigneur
1561	camion
1562	perdre
1563	perte
1564	perdu
1565	parcelle
1566	fort
1567	bruyamment
1568	aimer
1569	joli
1570	bas
1571	plus bas
1572	chance
1573	chanceux
1574	déjeuner
1575	poumon
1576	le luxe
1577	machine
1578	fou
1579	magazine
1580	la magie
1581	courrier
1582	principale
1583	surtout
1584	maintenir
1585	Majeur
1586	majorité
1587	Fabriquer
1588	Masculin
1589	centre commercial
1590	homme
1591	faire en sorte
1592	la gestion
1593	gestionnaire
1594	manière
1595	de nombreux
1596	carte
1597	Mars
1598	marque
1599	marché
1600	commercialisation
1601	mariage
1602	marié
1603	marier
1604	Masse
1605	massif
1606	Maître
1607	match (concours/correspondance)
1608	correspondant à
1609	Matériel
1610	mathématiques
1611	mathématiques
1612	question
1613	maximum
1614	Peut
1615	peut modal
1616	peut être
1617	moi
1618	repas
1619	moyenne
1620	sens
1621	moyens
1622	pendant ce temps
1623	mesure
1624	la mesure
1625	Viande
1626	médias
1627	médical
1628	Médicament
1629	moyen
1630	rencontrer
1631	Rencontre
1632	fondre
1633	membre
1634	Mémoire
1635	mental
1636	mention
1637	menu
1638	désordre
1639	message
1640	métal
1641	méthode
1642	mètre
1643	milieu
1644	minuit
1645	pourrait modal
1646	bénin
1647	mile
1648	militaire
1649	Le Lait
1650	nombre de millions
1651	dérange
1652	le mien (m'appartient)
1653	le mien (trou dans le sol)
1654	minéral
1655	le minimum
1656	ministre
1657	mineure
1658	minorité
1659	minute1
1660	miroir
1661	Mademoiselle
1662	disparu
1663	mission
1664	erreur
1665	mélanger
1666	mixte
1667	mélange
1668	portable
1669	maquette
1670	moderne
1671	modifier
1672	moment
1673	Lundi
1674	argent
1675	moniteur
1676	singe
1677	mois
1678	ambiance
1679	lune
1680	moral
1681	Suite
1682	Matin
1683	plus
1684	la plupart
1685	mère
1686	moteur
1687	moto
1688	monter
1689	Montagne
1690	Souris
1691	bouche
1692	mouvement
1693	mouvement
1694	film
1695	beaucoup
1696	boue
1697	plusieurs
1698	multiplier
1699	maman
1700	meurtre
1701	le muscle
1702	musée
1703	musique
1704	musical
1705	musicien
1706	doit modal
1707	ma
1708	moi même
1709	mystérieux
1710	mystère
1711	clou
1712	Nom
1713	récit
1714	étroit
1715	nation
1716	nationale
1717	originaire de
1718	Naturel
1719	naturellement
1720	la nature
1721	à proximité
1722	presque
1723	soigné
1724	nécessairement
1725	nécessaire
1726	cou
1727	besoin
1728	aiguille
1729	négatif
1730	voisine
1731	quartier
1732	ni
1733	nerf
1734	nerveux
1735	rapporter
1736	réseau
1737	jamais
1738	Néanmoins
1739	Nouveau
1740	nouvelles
1741	un journal
1742	Suivant
1743	près de
1744	agréable
1745	nuit
1746	cauchemar
1747	neuf
1748	dix-neuf
1749	quatre-vingt-dix
1750	non
1751	personne
1752	personne
1753	bruit
1754	bruyant
1755	rien
1756	ni
1757	Ordinaire
1758	normalement
1759	Nord
1760	nord
1761	nez
1762	ne pas
1763	Remarque
1764	rien
1765	remarquer
1766	notion
1767	roman
1768	Novembre
1769	à présent
1770	nulle part
1771	nucléaire
1772	Numéro
1773	nombreux
1774	infirmière
1775	noix
1776	obéit
1777	objet
1778	objectif
1779	obligation
1780	observation
1781	observer
1782	obtenir
1783	évident
1784	évidemment
1785	occasion
1786	parfois
1787	se produire
1788	océan
1789	heure
1790	Octobre
1791	étrange
1792	de
1793	à l'arrêt
1794	infraction
1795	offenser
1796	attaque
1797	offrir
1798	Bureau
1799	officier
1800	officiel
1801	souvent
1802	oh
1803	pétrole
1804	D'ACCORD
1805	Agé de
1806	démodé
1807	sur
1808	une fois que
1809	une
1810	oignon
1811	en ligne
1812	seulement
1813	sur
1814	ouvert
1815	ouverture
1816	fonctionner
1817	opération
1818	opinion
1819	adversaire
1820	occasion
1821	s'opposer
1822	opposé
1823	opposé
1824	opposition
1825	option
1826	ou
1827	orange
1828	ordre
1829	ordinaire
1830	organe
1831	organisme
1832	organiser
1833	organisé
1834	organisateur
1835	origine
1836	original
1837	à l'origine
1838	autre
1839	Par ailleurs
1840	devrait
1841	notre
1842	les notres
1843	nous-mêmes
1844	dehors
1845	résultat
1846	Extérieur
1847	en plein air
1848	extérieur
1849	présenter
1850	à l'extérieur
1851	four
1852	plus de
1853	globalement
1854	devoir
1855	posséder
1856	propriétaire
1857	rythme
1858	paquet
1859	forfait
1860	page
1861	la douleur
1862	douloureux
1863	Peinture
1864	peintre
1865	La peinture
1866	paire
1867	palais
1868	pâle
1869	poêle
1870	panneau
1871	les pantalons
1872	papier
1873	paragraphe
1874	parent
1875	parc
1876	parking
1877	parlement
1878	partie
1879	participant
1880	participer
1881	particulier
1882	notamment
1883	partiellement
1884	partenaire
1885	faire la fête
1886	passer
1887	passage
1888	passager
1889	la passion
1890	passeport
1891	passé
1892	chemin
1893	patient
1894	motif
1895	Payer
1896	Paiement
1897	paix
1898	pacifique
1899	stylo
1900	crayon
1901	penny
1902	retraite1
1903	personnes
1904	poivre
1905	par
1906	pour cent
1907	pourcentage
1908	parfait
1909	à la perfection
1910	effectuer
1911	performance
1912	peut-être
1913	période
1914	permanent
1915	autorisation
1916	permis
1917	la personne
1918	personnel
1919	personnalité
1920	personnellement
1921	perspective
1922	persuader
1923	animaux
1924	essence
1925	phase
1926	phénomène
1927	philosophie
1928	téléphoner
1929	photo
1930	photographier
1931	photographe
1932	la photographie
1933	phrase
1934	physique
1935	la physique
1936	piano
1937	prendre
1938	image
1939	pièce
1940	cochon
1941	pile
1942	pilote
1943	broche
1944	rose
1945	tuyau
1946	terrain
1947	place
1948	plaine
1949	planifier
1950	avion
1951	planète
1952	Planification
1953	plante
1954	Plastique
1955	assiette
1956	Plate-forme
1957	jouer
1958	joueur
1959	agréable
1960	s'il vous plaît
1961	heureux
1962	plaisir
1963	abondance
1964	terrain
1965	plus1
1966	poche
1967	poème
1968	poète
1969	poésie
1970	indiquer
1971	pointu
1972	poison
1973	toxique
1974	police
1975	policier
1976	politique
1977	poli
1978	politique
1979	politicien
1980	politique
1981	la pollution
1982	bassin
1983	pauvre
1984	populaire
1985	populaire
1986	popularité
1987	population
1988	Port
1989	portrait
1990	pose
1991	position
1992	positif
1993	posséder
1994	possession
1995	possibilité
1996	possible
1997	peut-être
1998	Publier
1999	affiche
2000	pot
2001	Patate
2002	potentiel
2003	livre
2004	verser
2005	la pauvreté
2006	poudre
2007	Puissance
2008	puissant
2009	pratique
2010	pratique
2011	pratique
2012	louer
2013	prier
2014	prière
2015	prédire
2016	prédiction
2017	préfère
2018	Enceinte
2019	préparation
2020	préparer
2021	préparé
2022	présence
2023	cadeau
2024	présentation
2025	préserver
2026	Président
2027	presse
2028	pression
2029	faire semblant
2030	jolie
2031	empêcher
2032	précédent
2033	précédemment
2034	le prix
2035	prêtre
2036	primaire
2037	prime
2038	prince
2039	Princesse
2040	principe
2041	imprimer
2042	imprimante
2043	impression
2044	priorité
2045	prison
2046	prisonnier
2047	intimité
2048	privé
2049	prix
2050	Probablement
2051	problème
2052	procédure
2053	traiter
2054	produire
2055	producteur
2056	produit
2057	production
2058	profession
2059	professionnelle
2060	professeur
2061	profil
2062	profit
2063	programme
2064	programme
2065	le progrès
2066	projet
2067	promettre
2068	promouvoir
2069	prononcer
2070	preuve
2071	correct
2072	correctement
2073	propriété
2074	proposition
2075	proposer
2076	perspective
2077	protéger
2078	protection
2079	manifestation
2080	fier
2081	prouver
2082	apporter
2083	psychologue
2084	psychologie
2085	pub
2086	Publique
