씨	단어
959	값비싼
960	경험
961	경험이 풍부한
962	실험
963	전문가
964	설명
965	설명
966	터지다
967	탐구
968	탐구하다
969	폭발
970	내보내다
971	폭로하다
972	표현하다
973	표현
974	연장하다
975	정도
976	외부
977	추가의
978	기이한
979	극심한
980	극도로
981	눈
982	얼굴
983	시설
984	사실
985	요인
986	공장
987	불합격
988	실패
989	공정한
990	꽤
991	믿음
992	떨어지다
993	거짓
994	친숙한
995	가족
996	유명한
997	팬
998	팬시한
999	환상적인
1000	멀리
1001	농장
1002	농장주
1003	농업
1004	매력적인
1005	패션
1006	최신 유행의
1007	빠른
1008	묶다
1009	지방
1010	아버지
1011	잘못
1012	호의
1013	가장 좋아하는
1014	두려움
1015	깃털
1016	특징
1017	2월
1018	회비
1019	밥을 먹이다
1020년	피드백
1021	느끼다
1022	감정
1023	사람
1024	여자
1025	울타리
1026	제전
1027	약간의
1028	소설
1029	필드
1030	열 다섯
1031	다섯 번째
1032	오십
1033	싸움
1034	화이팅
1035	수치
1036	파일
1037	채우다
1038	영화
1039	결정적인
1040	마지막으로
1041	재원
1042	재정적인
1043	찾기
1044	발견
1045	좋아
1046	손가락
1047	마치다
1048	불
1049	단단한
1050	첫 번째
1051	먼저
1052	생선
1053	어업
1054	맞다
1055	적합
1056	다섯
1057	고치다
1058	결정된
1059	깃발
1060	불꽃
1061	플래시
1062	평평한
1063	유연한
1064	비행
1065	뜨다
1066	홍수
1067	바닥
1068	밀가루
1069	흐름
1070	꽃
1071	독감
1072	파리
1073	나는
1074	집중하다
1075	겹
1076	접는
1077	사람들
1078	따르다
1079	수행원
1080	음식
1081	발
1082	축구
1083	~을 위한
1084	힘
1085	외국의
1086	숲
1087	영원히
1088	잊다
1089	용서하다
1090	포크
1091	형태
1092	공식적인
1093	이전의
1094	다행스럽게도
1095	행운
1096	사십
1097	앞으로
1098	설립하다
1099	네
1100	십사
1101	네번째
1102	액자
1103	무료
1104	자유
1105	얼다
1106	빈도
1107	자주
1108	신선한
1109	금요일
1110	냉장고
1111	친구
1112	친숙한
1113	우정
1114	놀라다
1115	겁먹은
1116	놀라운
1117	개구리
1118	~에서
1119	앞쪽
1120년	겨울 왕국
1121	과일
1122	튀김
1123	연료
1124	가득한
1125년	충분히
1126	재미있는
1127	기능
1128	축적
1129	근본적인
1130	자금 조달
1131	재미있는
1132	털
1133	가구
1134	더 나아가
1135	뿐만 아니라
1136	미래
1137	얻다
1138	갤러리
1139	게임
1140	한 떼
1141	갭
1142	차고
1143	정원
1144	가스
1145년	문
1146	모으다
1147	일반
1148	일반적으로
1149	생성하다
1150	세대
1151	관대한
1152	장르
1153	온화한
1154	신사
1155	지리학
1156	가져 오기
1157	귀신
1158	거대한
1159	선물
1160	여자
1161	여자 친구
1162	주다
1163	기쁜
1164	유리
1165년	글로벌
1166	장갑
1167	가다
1168	목표
1169	하느님
1170	금
1171	골프
1172	좋은
1173	안녕
1174	상품
1175	다스리다
1176	정부
1177	붙잡다
1178	등급
1179	서서히
1180	졸업하다
1181	곡물
1182	멋진
1183	할아버지
1184	할머니
1185	조부모
1186	승인하다
1187	잔디
1188	고마워하는
1189	엄청난
1190	초록
1191	환영하다
1192	회색
1193	지면
1194	그룹
1195년	자라다
1196	성장
1197	보장하다
1198	경비원
1199	추측
1200	손님
1201	가이드
1202	죄책감이 드는
1203	기타
1204	총
1205년	남자
1206년	헬스장
1207년	습관
1208년	머리카락
1209년	반
1210년	홀
1211년	손
1212년	핸들
1213년	매달다
1214년	일어나다
1215년	행복하게
1216년	행복
1217년	행복하다
1218년	딱딱한
1219년	거의 ~ 아니다
1220년	피해
1221년	해로운
1222년	모자
1223년	싫어하다
1224년	가지다
1225년	모달해야
1226년	그
1227년	머리
1228년	두통
1229년	표제
1230년	건강
1231년	건강한
1232년	듣다
1233년	듣기
1234년	마음
1235년	열
1236년	난방
1237년	천국
1238년	무겁게
1239년	무거운
1240년	힐
1241	키
1242년	헬리콥터
1243년	지옥
1244년	안녕하세요
1245년	돕다
1246년	도움이 되는
1247년	그녀의
1248년	여기
1249년	영웅
1250년	그녀의 것
1251	그녀 자신
1252년	망설이다
1253년	야
1254년	안녕
1255년	숨다
1256년	높은
1257년	가장 밝은 부분
1258년	고도로
1259년	언덕
1260년	그를
1261	그 자신
1262년	고용하다
1263년	그의
1264년	역사적인
1265년	역사적인
1266년	역사
1267	때리다
1268년	취미
1269년	하키
1270	잡고 있다
1271	구멍
1272	휴일
1273	구멍
1274	거룩한
1275년	집
1276년	숙제
1277	솔직한
1278	명예
1279	희망
1280년	끔찍한
1281	공포
1282	말
1283	병원
1284	주최자
1285년	더운
1286년	호텔
1287	시
1288	집
1289	가정
1290년	주택
1291년	어떻게
1292년	하지만
1293년	거대한
1294년	인간
1295년	재미있는
1296년	기분
1297	백
1298년	굶주린
1299	사냥
1300년	수렵
1301	허리케인
1302	서두르다
1303	아프다
1304년	남편
1305년	나
1306년	빙
1307	아이스크림
1308년	아이디어
1309년	이상적인
1310년	식별하다
1311	신원
1312년	만약에
1313	무시하다
1314년	아픈
1315년	불법적인
1316년	질병
1317	설명하다
1318년	삽화
1319년	영상
1320년	상상의
1321년	상상력
1322년	상상하다
1323년	즉각적인
1324년	즉시
1325년	이민
1326년	타격
1327	짜증난
1328년	암시하다
1329년	수입
1330년	중요성
1331	중요한
1332년	부과하다
1333	불가능한
1334년	감탄시키다
1335년	깊은 인상
1336년	인상
1337	감동적인
1338	개선하다
1339년	개선
1340년	안에
1341	인치
1342년	사건
1343	포함
1344년	포함
1345년	포함
1346년	소득
1347	증가하다
1348	더욱 더
1349년	믿을 수 없는
1350년	엄청나게
1351	참으로
1352년	독립적인
1353	나타내다
1354년	간접
1355년	개인
1356년	실내
1357	옥내에서
1358	산업
1359	산업
1360년	전염병
1361	영향
1362년	알리다
1363	비공식
1364년	정보
1365년	재료
1366년	초기의
1367	처음에
1368년	계획
1369	해치다
1370	다쳐서
1371	부상
1372	안의
1373	순결한
1374	곤충
1375년	내부에
1376	통찰력
1377	주장하다
1378	고무하다
1379	설치
1380년	사례
1381	대신에
1382	학회
1383	기관
1384	지침
1385년	강사
1386	기구
1387	보험
1388	지능
1389	지능적인
1390년	의도하다
1391	예정된
1392년	극심한
1393	의도
1394년	관심
1395년	관심 있는
1396년	흥미로운
1397	내부
1398	국제적인
1399	인터넷
1400	해석하다
1401	방해하다
1402년	회견
1403	~ 안으로
1404년	소개하다
1405년	소개
1406년	꾸미다
1407년	발명
1408년	투자하다
1409년	조사하다
1410년	조사
1411	투자
1412년	초대
1413년	초대
1414년	관련시키다
1415년	관련된
1416년	철
1417년	섬
1418년	문제
1419년	그것
1420년	그것
1421년	안건
1422년	그것의
1423년	그 자체
1424년	재킷
1425년	잼
1426년	1월
1427	재즈
1428년	청바지
1429년	보석류
1430년	직업
1431	가입하다
1432년	농담
1433년	신문
1434년	기자
1435년	여행
1436년	기쁨
1437	판사
1438년	심판
1439년	주스
1440년	칠월
1441	도약
1442년	6월
1443년	후진
1444년	단지
1445년	정당성
1446년	신이 옳다고 하다
1447	날카로운
1448년	유지하다
1449년	열쇠
1450년	건반
1451	발 차기
1452년	어린이
1453년	죽이다
1454년	죽이는
1455년	킬로미터
1456년	종류(종류)
1457	종류(배려)
1458년	왕
1459년	키스
1460년	주방
1461	무릎
1462년	칼
1463년	노크
1464년	알다
1465년	지식
1466년	랩
1467년	상표
1468년	실혐실
1469년	노동
1470년	부족
1471	숙녀
1472	호수
1473	램프
1474	나라
1475년	풍경
1476년	언어
1477	랩탑
1478	크기가 큰
1479	크게
1480년	last1 (최종)
1481	last1 (시간 소요)
1482년	늦은
1483	나중에
1484	최신
1485년	웃다
1486년	웃음
1487	시작하다
1488	법
1489	변호사
1490년	놓다
1491	층
1492년	게으른
1493년	리드1
1494년	지도자
1495년	지도
1496년	주요한
1497년	잎
1498년	리그
1499년	기대다
1500	배우다
1501	학습
1502년	최소
1503년	가죽
1504년	떠나다
1505년	강의
1506년	왼쪽
1507년	다리
1508년	합법적인
1509년	여가
1510년	레몬
1511년	빌려주다
1512년	길이
1513년	더 적은
1514년	수업
1515년	허락하다
1516년	편지
1517년	수준
1518년	도서관
1519년	특허
1520년	거짓말1
1521년	lie2 (거짓말하다)
1522년	삶
1523년	생활 양식
1524년	승강기
1525년	빛 (태양/램프에서)
1526년	가볍다(무겁지 않다)
1527년	같은 (비슷한)
1528년	like (즐거운 sb/sth 찾기)
1529년	N.
1530년	~할 것 같은
1531년	한계
1532년	제한된
1533년	선
1534년	링크
1535년	사자
1536년	말뿐인
1537년	액체
1538년	목록
1539년	듣다
1540년	경청자
1541년	문학
1542년	작은
1543년	라이브1
1544년	라이브2
1545년	기운찬
1546년	생활
1547년	짐
1548년	대출
1549년	현지의
1550년	위치하고 있다
1551년	위치한
1552년	위치
1553년	자물쇠
1554년	논리적
1555년	외로운
1556년	긴1
1557년	장기간
1558년	바라보다
1559년	헐렁한
1560년	주님
1561년	사륜 짐마차
1562년	잃다
1563년	손실
1564년	잃어버린
1565년	많은
1566년	시끄러운
1567년	큰 소리로
1568년	사랑
1569년	사랑스러운
1570년	낮은
1571	낮추다
1572년	운
1573년	운이 좋은
1574년	점심
1575년	폐
1576년	사치
1577년	기계
1578년	미친
1579년	잡지
1580년	마법
1581	우편
1582년	기본
1583년	주로
1584년	유지하다
1585년	주요한
1586년	다수
1587년	만들다
1588년	남성
1589년	쇼핑 센터
1590년	남성
1591년	관리하다
1592년	관리
1593년	관리자
1594년	방법
1595년	많은
1596년	지도
1597년	3월
1598년	표시
1599년	시장
1600년	마케팅
1601년	결혼
1602년	기혼
1603년	결혼하다
1604년	대량의
1605년	엄청난
1606년	주인
1607년	시합(경연/대응)
1608년	어울리는
1609년	재료
1610년	수학
1611년	수학
1612년	문제
1613년	최고
1614년	5월
1615년	모달
1616년	아마도
1617년	나
1618년	식사
1619년	평균
1620년	의미
1621년	수단
1622년	그 동안에
1623년	측정하다
1624년	측정
1625년	고기
1626년	미디어
1627년	의료
1628년	약
1629년	중간
1630년	만나다
1631년	회의
1632년	녹다
1633년	회원
1634년	메모리
1635년	정신적인
1636년	언급하다
1637년	메뉴
1638년	엉망
1639년	메시지
1640년	금속
1641년	방법
1642년	미터
1643년	가운데
1644년	자정
1645년	모달
1646년	경증
1647년	마일
1648년	군대
1649년	우유
1650년	백만 수
1651년	정신
1652년	내 것 (내 것)
1653년	광산 (땅에 구멍)
1654년	광물
1655년	최저한의
1656년	장관
1657년	미성년자
1658년	소수
1659년	1분
1660년	거울
1661년	놓치다
1662년	잃어버린
1663년	사명
1664년	실수
1665년	혼합
1666년	혼합
1667년	혼합물
1668년	이동하는
1669년	모델
1670년	현대의
1671	수정하다
1672년	순간
1673년	월요일
1674년	돈
1675년	감시 장치
1676년	원숭이
1677	월
1678년	분위기
1679년	달
1680년	도의적인
1681	더
1682년	아침
1683년	대부분
1684년	주로
1685년	어머니
1686년	모터
1687	오토바이
1688년	산
1689년	산
1690년	생쥐
1691년	입
1692년	이동하다
1693년	움직임
1694년	영화
1695년	많이
1696년	진흙
1697년	다수의
1698년	곱하다
1699년	침묵
1700년	살인
1701	근육
1702년	박물관
1703년	음악
1704년	뮤지컬
1705년	음악가
1706년	모달해야 함
1707년	나의
1708년	내 자신
1709년	신비한
1710년	신비
1711년	못
1712년	이름
1713년	이야기
1714년	좁은
1715년	국가
1716년	국가의
1717년	토종의
1718년	자연스러운
1719년	당연히
1720년	자연
1721년	가까운
1722년	거의
1723년	정돈된
1724년	반드시
1725년	필요한
1726년	목
1727년	필요
1728년	바늘
1729년	부정적인
1730년	이웃
1731년	이웃
1732년	어느 것도 아니다
1733년	신경 이상
1734년	불안한
1735년	그물
1736년	회로망
1737년	절대
1738년	그럼에도 불구하고
1739년	새로운
1740년	소식
1741년	신문
1742년	다음
1743년	옆에
1744년	멋진
1745년	밤
1746년	악몽
1747년	아홉
1748년	십구
1749년	구십
1750년	아니요
1751년	아무도
1752년	아무도
1753년	소음
1754년	시끄러운
1755년	없음
1756년	...도 아니다
1757년	정상
1758년	보통
1759년	북쪽
1760년	북부 사투리
1761년	코
1762년	~ 아니다
1763년	노트
1764년	아무것도 아님
1765년	알아채다
1766년	개념
1767년	소설
1768년	십일월
1769년	지금
1770년	아무데도
1771년	핵무기
1772년	숫자
1773년	많은
1774년	간호사
1775년	너트
1776년	순종하다
1777년	물체
1778년	목적
1779년	의무
1780년	관찰
1781년	관찰하다
1782년	얻다
1783년	분명한
1784년	확실히
1785년	기회
1786년	가끔
1787년	발생하다
1788년	대양
1789년	시
1790년	십월
1791년	이상한
1792년	의
1793년	끄다
1794년	위반
1795년	공격하다
1796년	공격
1797년	권하다
1798년	사무실
1799년	장교
1800년	공식적인
1801년	자주
1802년	오
1803년	기름
1804년	확인
1805년	낡은
1806년	구식
1807년	~에
1808년	한 번
1809년	하나
1810년	양파
1811년	온라인
1812년	뿐
1813년	에
1814년	열려 있는
1815년	열리는
1816년	작동하다
1817년	작업
1818년	의견
1819년	상대
1820년	기회
1821년	대들다
1822년	반대하다
1823년	반대
1824년	반대
1825년	옵션
1826년	또는
1827년	주황색
1828년	주문하다
1829년	평범한
1830년	오르간
1831년	조직
1832년	정리하다
1833년	조직
1834년	조직자
1835년	기원
1836년	원래의
1837년	원래
1838년	다른
1839년	그렇지 않으면
1840년	영
1841년	우리의
1842년	우리 것
1843년	우리 스스로
1844년	밖으로
1845년	결과
1846년	집 밖의
1847년	옥외
1848년	밖의
1849년	개요
1850년	밖의
1851년	오븐
1852년	~ 위에
1853년	전반적인
1854년	빚지다
1855년	소유하다
1856년	소유자
1857년	속도
1858년	팩
1859년	패키지
1860년	페이지
1861년	통증
1862년	괴로운
1863년	페인트
1864년	화가
1865년	페인트 등
1866년	쌍
1867년	궁전
1868년	창백한
1869년	팬
1870년	패널
1871년	바지
1872년	종이
1873년	절
1874년	부모의
1875년	공원
1876년	주차
1877년	의회
1878년	부분
1879년	참가자
1880년	참가하다
1881년	특정한
1882년	특히
1883년	부분적으로
1884년	파트너
1885년	파티
1886년	통과하다
1887년	통로
1888년	승객
1889년	열정
1890년	여권
1891년	과거
1892년	길
1893년	인내심 있는
1894년	무늬
1895년	지불
1896년	지불
1897년	평화
1898년	평화로운
1899년	펜
1900년	연필
1901년	페니
1902년	연금1
1903년	사람들
1904년	후추
1905년	당
1906년	퍼센트
1907년	백분율
1908년	완벽한
1909년	아주
1910년	공연하다
1911년	성능
1912년	아마도
1913년	기간
1914년	영구적 인
1915년	허가
1916년	허용하다
1917년	사람
1918년	개인의
1919년	인격
1920년	몸소
1921년	관점
1922년	설득하다
1923년	애완 동물
1924년	가솔린
1925년	단계
1926년	현상
1927년	철학
1928년	핸드폰
1929년	사진
1930년	사진
1931년	사진작가
1932년	사진술
1933년	구절
1934년	물리적 인
1935년	물리학
1936년	피아노
1937년	선택하다
1938년	그림
1939년	조각
1940년	돼지
1941년	말뚝
1942년	조종사
1943년	핀
1944년	분홍색
1945년	파이프
1946년	정점
1947년	장소
1948년	솔직한
1949년	계획
1950년	비행기
1951년	행성
1952년	계획
1953년	공장
1954년	플라스틱
1955년	그릇
1956년	플랫폼
1957년	플레이
1958년	플레이어
1959년	즐거운
1960년	제발
1961년	기쁜
1962년	기쁨
1963년	풍부한
1964년	구성
1965년	플러스1
1966년	포켓
1967년	시
1968년	시인
1969년	시
1970년	가리키다
1971년	뾰족한
1972년	독
1973년	유해한
1974년	경찰
1975년	경관
1976년	정책
1977년	예의 바른
1978년	정치적인
1979년	정치가
1980년	정치
1981년	오염
1982년	수영장
1983년	가난한
1984년	팝
1985년	인기 있는
1986년	인기
1987년	인구
1988년	포트
1989년	초상화
1990년	포즈
1991년	위치
1992년	긍정적인
1993년	붙잡다
1994년	소유
1995년	가능성
1996년	가능한
1997년	혹시
1998년	게시하다
1999년	포스터
2000년	냄비
2001년	감자
2002년	잠재적인
2003년	파운드
2004년	붓다
2005년	빈곤
2006년	가루
2007년	힘
2008년	강한
2009년	현실적인
2010년	관행
2011년	관행
2012년	칭찬
2013년	기도하다
2014년	기도
2015년	예측하다
2016년	예측
