Sr	Wörter
413	Center
414	Jahrhundert
415	Zeremonie
416	sicher
417	sicherlich
418	Kette
419	Stuhl
420	Vorsitzende
421	Herausforderung
422	Champion
423	Chance
424	Rückgeld
425	Kanal
426	Kapitel
427	Charakter
428	charakteristisch
429	aufladen
430	Wohltätigkeit
431	Diagramm
432	Plaudern
433	billig
434	schummeln
435	überprüfen
436	Koch
437	gut gelaunt
438	Käse
439	chemisch
440	Chemie
441	Truhe
442	Hähnchen
443	Chef
444	Kind
445	Kindheit
446	Chip
447	Schokolade
448	Auswahl
449	wählen
450	Kirche
451	Zigarette
452	Kino
453	Kreis
454	Umstand
455	zitieren
456	Bürger
457	Stadt
458	bürgerlich
459	Klage
460	Klasse
461	klassisch
462	klassisch
463	Klassenzimmer
464	Klausel
465	sauber
466	klar
467	deutlich
468	clever
469	klicken
470	Klient
471	Klima
472	steigen
473	Uhr
474	schließen1
475	schließen2
476	abgeschlossen
477	eng
478	Stoff
479	Kleidung
480	Kleidung
481	Wolke
482	Verein
483	Hinweis
484	Coach
485	Kohle
486	Küste
487	Mantel
488	Code
489	Kaffee
490	Münze
491	kalt
492	Zusammenbruch
493	Kollege
494	sammeln
495	Sammlung
496	Uni
497	Farbe
498	farbig
499	Säule
500	Kombination
501	kombinieren
502	Kommen Sie
503	Komödie
504	Komfort
505	gemütlich
506	Befehl
507	Kommentar
508	kommerziell
509	Kommission
510	verpflichten
511	Verpflichtung
512	Komitee
513	gemeinsames
514	häufig
515	kommunizieren
516	Kommunikation
517	Gemeinschaft
518	Gesellschaft
519	vergleichen
520	Vergleich
521	wetteifern
522	Wettbewerb
523	Wettbewerber
524	wettbewerbsfähig
525	beschweren
526	Beschwerde
527	Komplett
528	vollständig
529	Komplex
530	kompliziert
531	Komponente
532	Computer
533	konzentrieren
534	Konzentration
535	Konzept
536	Anliegen
537	betroffen
538	Konzert
539	daraus schließen
540	Fazit
541	Bedingung
542	Verhalten
543	Konferenz
544	Vertrauen
545	zuversichtlich
546	bestätigen
547	Konflikt
548	verwechseln
549	verwirrt
550	verwirrend
551	verbinden
552	in Verbindung gebracht
553	Verbindung
554	bewusst
555	Folge
556	konservativ
557	Erwägen
558	Rücksichtnahme
559	bestehen
560	konsistent
561	Konstante
562	ständig
563	konstruieren
564	Konstruktion
565	verbrauchen
566	Verbraucher
567	Kontakt
568	enthalten
569	Container
570	zeitgenössisch
571	Inhalt1
572	Wettbewerb
573	Kontext
574	Kontinent
575	fortsetzen
576	kontinuierlich
577	Vertrag
578	Kontrast
579	beitragen
580	Beitrag
581	Kontrolle
582	praktisch
583	Gespräch
584	Konvertieren
585	überzeugen
586	überzeugt
587	Koch
588	Kocher
589	Kochen
590	Kalt
591	Kopieren
592	Ader
593	Ecke
594	Unternehmen
595	Korrekt
596	korrekt
597	kosten
598	Kostüm
599	Hütte
600	Baumwolle
601	könnte
602	Rat
603	zählen
604	Land
605	Landschaft
606	Bezirk
607	Paar
608	Mut
609	Kurs
610	Gericht
611	Cousin
612	Startseite
613	bedeckt
614	Kuh
615	Absturz
616	verrückt
617	Creme
618	schaffen
619	Schaffung
620	kreativ
621	Kreatur
622	Anerkennung
623	Besatzung
624	Verbrechen
625	kriminell
626	Krise
627	Kriterium
628	Kritiker
629	kritisch
630	Kritik
631	kritisieren
632	Ernte
633	Kreuz
634	Menge
635	überlaufen
636	zentral
637	grausam
638	Schrei
639	kulturell
640	Kultur
641	Tasse
642	Schrank
643	Heilung
644	lockig
645	Währung
646	aktuell
647	zur Zeit
648	Vorhang
649	Kurve
650	gebogen
651	Brauch
652	Kunde
653	schneiden
654	Kreislauf
655	Papa
656	Täglich
657	Schaden
658	tanzen
659	Tänzer
660	Tanzen
661	Achtung
662	gefährlich
663	dunkel
664	Daten
665	Datum
666	Tochter
667	Tag
668	tot
669	handeln
670	Liebling
671	Tod
672	Debatte
673	Schuld
674	Jahrzehnt
675	Dezember
676	anständig
677	sich entscheiden
678	Entscheidung
679	erklären
680	Abfall
681	schmücken
682	Dekoration
683	Verringerung
684	tief
685	tief
686	Verlust
687	Verteidigung
688	verteidigen
689	definieren
690	bestimmt
691	bestimmt
692	Definition
693	Grad
694	Verzögerung
695	absichtlich
696	absichtlich
697	köstlich
698	Vergnügen
699	erfreut
700	liefern
701	Lieferung
702	fordern
703	zeigen
704	Zahnarzt
705	leugnen
706	Abteilung
707	Abfahrt
708	abhängen
709	deprimiert
710	deprimierend
711	Tiefe
712	beschreiben
713	Bezeichnung
714	Wüste
715	verdienen
716	Entwurf
717	Designer
718	Verlangen
719	Schreibtisch
720	verzweifelt
721	Trotz
722	Ziel
723	zerstören
724	Detail
725	detailliert
726	erkennen
727	Detektiv
728	bestimmen
729	bestimmt
730	sich entwickeln
731	Entwicklung
732	Gerät
733	Diagramm
734	Dialog
735	Diamant
736	Tagebuch
737	Wörterbuch
738	sterben
739	Diät
740	Unterschied
741	anders
742	anders
743	schwierig
744	Schwierigkeit
745	graben
746	Digital
747	Abendessen
748	Direkte
749	Richtung
750	direkt
751	Direktor
752	Schmutz
753	schmutzig
754	Dis Adverb
755	nicht zustimmen
756	verschwinden
757	enttäuscht
758	enttäuschend
759	Katastrophe
760	Rabatt
761	Disziplin
762	Rabatt
763	entdecken
764	Entdeckung
765	diskutieren
766	Diskussion
767	Erkrankung
768	Gericht
769	unehrlich
770	nicht gefallen
771	zurückweisen
772	Anzeige
773	Distanz
774	verteilen
775	Verteilung
776	Bezirk
777	teilen
778	Aufteilung
779	geschieden
780	do1
781	Arzt
782	dokumentieren
783	Dokumentarfilm
784	Hund
785	Dollar
786	inländisch
787	dominieren
788	spenden
789	Tür
790	doppelt
791	_
792	Zweifel
793	Nieder
794	Download
795	unten
796	nach unten
797	Dutzend
798	Entwurf
799	ziehen
800	Theater
801	dramatisch
802	zeichnen
803	Zeichnung
804	Traum
805	Kleid
806	gekleidet
807	Getränk
808	Fahrt
809	Treiber
810	Fahren
811	fallen
812	Arzneimittel
813	Trommel
814	betrunken
815	trocken
816	fällig
817	während
818	Staub
819	Pflicht
820	DVD
821	jeder
822	Ohr
823	frühzeitig
824	verdiene
825	Erde
826	Erdbeben
827	leicht
828	Ost
829	östlich
830	einfach
831	Essen
832	wirtschaftlich
833	Wirtschaft
834	Kante
835	bearbeiten
836	Auflage
837	Editor
838	erziehen
839	gebildet
840	Ausbildung
841	lehrreich
842	Wirkung
843	Wirksam
844	effektiv
845	effizient
846	Anstrengung
847	Ei
848	acht
849	achtzehn
850	achtzig
851	entweder
852	Alten
853	wählen
854	Wahl
855	elektrisch
856	elektrisch
857	Elektrizität
858	elektronisch
859	Element
860	Elefant
861	elf
862	anders
863	anderswo
864	Email
865	beschämt
866	peinlich
867	auftauchen
868	Notfall
869	Emotion
870	emotional
871	Hervorhebung
872	betonen
873	beschäftigen
874	Angestellter
875	Arbeitgeber
876	Beschäftigung
877	leer
878	ermöglichen
879	begegnen
880	ermutigen
881	Ende
882	Ende
883	Feind
884	Energie
885	engagieren
886	verlobt
887	Motor
888	Techniker
889	Ingenieurwesen
890	erweitern
891	Viel Spaß
892	enorm
893	genügend
894	Anfrage
895	dafür sorgen
896	Eintreten
897	unterhalten
898	Entertainment
899	Begeisterung
900	enthusiastisch
901	gesamte
902	völlig
903	Eingang
904	Eintrag
905	Umgebung
906	Umwelt
907	Folge
908	gleich
909	gleichermaßen
910	Ausrüstung
911	Error
912	Flucht
913	besonders
914	Aufsatz
915	wesentlich
916	Gründen
917	Anwesen
918	schätzen
919	ethisch
920	Euro
921	auswerten
922	eben
923	Abend
924	Veranstaltung
925	letztlich
926	je
927	jeder
928	alle
929	täglich
930	alle
931	alles
932	überall, überallhin, allerorts
933	Beweis
934	teuflisch
935	genau
936	exakt
937	Prüfung
938	Untersuchung
939	untersuchen
940	Beispiel
941	Ausgezeichnet
942	außer
943	Austausch
944	aufgeregt
945	Aufregung
946	aufregend
947	Entschuldigung
948	Exekutive
949	Übung
950	Ausstellung
951	existieren
952	Existenz
953	erweitern
954	erwarten von
955	Erwartung
956	erwartet
957	Expedition
958	Kosten
959	teuer
960	Erfahrung
961	erfahren
962	Experiment
963	Experte
964	erklären
965	Erläuterung
966	explodieren
967	Erkundung
968	erforschen
969	Explosion
970	Export
971	entlarven
972	ausdrücken
973	Ausdruck
974	erweitern
975	Ausmaß
976	extern
977	extra
978	außerordentlich
979	extrem
980	äußerst
981	Auge
982	Gesicht
983	Einrichtung
984	Tatsache
985	Faktor
986	Fabrik
987	scheitern
988	Versagen
989	Messe
990	ziemlich
991	Glaube
992	Herbst
993	FALSCH
994	vertraut
995	Familie
996	berühmt
997	Fan
998	schick
999	Fantastisch
1000	weit
1001	Bauernhof
1002	Bauer
1003	Landwirtschaft
1004	faszinierend
1005	Mode
1006	modisch
1007	schnell
1008	befestigen
1009	fett
1010	Vater
1011	Fehler
1012	favorisieren
1013	Favorit
1014	Furcht
1015	Feder
1016	Besonderheit
1017	Februar
1018	Gebühr
1019	Einspeisung
1020	Rückmeldung
1021	Gefühl
1022	Gefühl
1023	Gefährte
1024	weiblich
1025	Zaun
1026	Festival
1027	wenig
1028	Fiktion
1029	aufstellen
1030	fünfzehn
1031	fünfte
1032	fünfzig
1033	Kampf
1034	Kampf
1035	Zahl
1036	Datei
1037	füllen
1038	Film
1039	Finale
1040	endlich
1041	Finanzen
1042	finanziell
1043	finden
1044	finden
1045	fein
1046	Finger
1047	Fertig
1048	Feuer
1049	Feste
1050	Erste
1051	zuerst
1052	Fische
1053	Angeln
1054	fit
1055	Fitness
1056	fünf
1057	Fix
1058	Fest
1059	Flagge
1060	Flamme
1061	Blitz
1062	eben
1063	flexibel
1064	Flug
1065	schweben
1066	Flut
1067	Boden
1068	Mehl
1069	fließen
1070	Blume
1071	Grippe
1072	fliegen
1073	fliegend
1074	Fokus
1075	falten
1076	Falten
1077	Volk
1078	Folgen
1079	folgende
1080	Lebensmittel
1081	Fuß
1082	Fußball
1083	zum
1084	Macht
1085	ausländisch
1086	Wald
1087	bis in alle Ewigkeit
1088	vergessen
1089	verzeihen
1090	Gabel
1091	bilden
1092	formell
1093	ehemalige
1094	glücklicherweise
1095	Reichtum
1096	vierzig
1097	nach vorne
1098	gefunden
1099	vier
1100	vierzehn
1101	vierte
1102	rahmen
1103	frei
1104	Freiheit
1105	einfrieren
1106	Frequenz
1107	häufig
1108	frisch
1109	Freitag
1110	Kühlschrank
1111	Freund
1112	freundlich
1113	Freundschaft
1114	erschrecken
1115	erschrocken
1116	erschreckend
1117	Frosch
1118	aus
1119	Vorderseite
1120	gefroren
1121	Obst
1122	braten
1123	Treibstoff
1124	voll
1125	völlig
1126	Spaß
1127	Funktion
1128	Fonds
1129	grundlegend
1130	Finanzierung
1131	komisch
1132	Pelz
1133	Möbel
1134	des Weiteren
1135	weiter
1136	Zukunft
1137	gewinnen
1138	Galerie
1139	Spiel
1140	Gang
1141	Lücke
1142	Garage
1143	Garten
1144	Gas
1145	Tor
1146	versammeln
1147	Allgemeines
1148	allgemein
1149	generieren
1150	Generation
1151	großzügig
1152	Genre
1153	sanft
1154	Gentleman
1155	Erdkunde
1156	erhalten
1157	Geist
1158	Riese
1159	Geschenk
1160	Mädchen
1161	feste Freundin
1162	geben
1163	froh
1164	Glas
1165	global
1166	Handschuh
1167	gehen
1168	Tor
1169	Gott
1170	Gold
1171	Golf
1172	gut
1173	Auf Wiedersehen
1174	Waren
1175	regieren
1176	Regierung
1177	greifen
1178	Klasse
1179	schrittweise
1180	Absolvent
1181	Getreide
1182	großartig
1183	Großvater
1184	Oma
1185	Großelternteil
1186	gewähren
1187	Gras
1188	dankbar
1189	Großartig
1190	grün
1191	grüßen
1192	grau
1193	Boden
1194	Gruppe
1195	größer werden
1196	Wachstum
1197	Garantie
1198	bewachen
1199	erraten
1200	Gast
1201	führen
1202	schuldig
1203	Gitarre
1204	Pistole
1205	Kerl
1206	Fitnessstudio
1207	Gewohnheit
1208	Haar
1209	halb
1210	Halle
1211	Hand
1212	handhaben
1213	aufhängen
1214	passieren
1215	glücklich
1216	Glück
1217	glücklich
1218	schwer
1219	kaum
1220	Schaden
1221	schädlich
1222	Hut
1223	hassen
1224	haben
1225	müssen modal sein
1226	er
1227	Kopf
1228	Kopfschmerzen
1229	Überschrift
1230	die Gesundheit
1231	gesund
1232	hören
1233	Hören
1234	Herz
1235	Wärme
1236	Heizung
1237	Himmel
1238	schwer
1239	schwer
1240	Hacke
1241	Höhe
1242	Hubschrauber
1243	Hölle
1244	hallo
1245	Hilfe
1246	hilfreich
1247	Sie
1248	hier
1249	Held
1250	ihres
1251	Sie selber
1252	zögern
1253	Hey
1254	hallo
1255	ausblenden
1256	hoch
1257	Markieren
1258	höchst
1259	hügel
1260	ihn
1261	selbst
1262	mieten
1263	seine
1264	historisch
1265	historisch
1266	Geschichte
1267	Schlag
1268	Hobby
1269	Eishockey
1270	halt
1271	Loch
1272	Ferien
1273	hohl
1274	heilig
1275	Heimat
1276	Hausaufgaben
1277	ehrlich
1278	ehren
1279	Hoffnung
1280	entsetzlich
1281	Grusel
1282	Pferd
1283	Krankenhaus
1284	Gastgeber
1285	heiß
1286	Hotel
1287	Stunde
1288	Haus
1289	Haushalt
1290	Gehäuse
1291	wie
1292	jedoch
1293	riesig
1294	Mensch
1295	humorvoll
1296	Humor
1297	hundert
1298	hungrig
1299	Jagd
1300	Jagd
1301	Hurrikan
1302	sich beeilen
1303	Schmerz
1304	Ehemann
1305	ich
1306	Eis
1307	Eis
1308	Idee
1309	Ideal
1310	identifizieren
1311	Identität
1312	wenn
1313	ignorieren
1314	krank
1315	illegal
1316	Krankheit
1317	veranschaulichen
1318	Illustration
1319	Bild
1320	imaginär
1321	Vorstellung
1322	vorstellen
1323	sofort
1324	sofort
1325	Immigrant
1326	Einschlag
1327	ungeduldig
1328	implizieren
1329	importieren
1330	Bedeutung
1331	wichtig
1332	auferlegen
1333	unmöglich
1334	beeindrucken
1335	beeindruckt
1336	Eindruck
1337	beeindruckend
1338	verbessern
1339	Verbesserung
1340	in
1341	Zoll
1342	Vorfall
1343	enthalten
1344	inbegriffen
1345	einschließlich
1346	Einkommen
1347	Zunahme
1348	zunehmend
1349	unglaublich
1350	unglaublich
1351	in der Tat
1352	unabhängig
1353	angeben
1354	indirekt
1355	Individuell
1356	drinnen
1357	drinnen
1358	industriell
1359	Industrie
1360	Infektion
1361	beeinflussen
1362	informieren
1363	informell
1364	Information
1365	Zutat
1366	Initial
1367	anfänglich
1368	Initiative
1369	verletzen
1370	verletzt
1371	Verletzung
1372	innere
1373	unschuldig
1374	Insekt
1375	Innerhalb
1376	Einblick
1377	pochen
1378	inspirieren
1379	Installieren
1380	Beispiel
1381	stattdessen
1382	Institut
1383	Institution
1384	Anweisung
1385	Lehrer
1386	Instrument
1387	Versicherung
1388	Intelligenz
1389	intelligent
1390	beabsichtigen
1391	beabsichtigt
1392	heftig
1393	Absicht
1394	Interesse
1395	interessiert
1396	interessant
1397	intern
1398	International
1399	Internet
1400	interpretieren
1401	unterbrechen
1402	Interview
1403	hinein
1404	einführen
1405	Einleitung
1406	erfinden
1407	Erfindung
1408	investieren
1409	untersuchen
1410	Ermittlung
1411	Investition
1412	Einladung
1413	einladen
1414	einbeziehen
1415	beteiligt
1416	Eisen
1417	Insel
1418	Ausgabe
1419	ES
1420	es
1421	Artikel
1422	es ist
1423	selbst
1424	Jacke
1425	Marmelade
1426	Januar
1427	Jazz
1428	Jeans
1429	Schmuck
1430	Arbeit
1431	beitreten
1432	scherzen
1433	Tagebuch
1434	Journalist
1435	Reise
1436	Freude
1437	Richter
1438	Beurteilung
1439	Saft
1440	Juli
1441	springen
1442	Juni
1443	Junior
1444	nur
1445	Gerechtigkeit
1446	rechtfertigen
1447	daran interessiert
1448	behalten
1449	Schlüssel
1450	Klaviatur
1451	trete
1452	Kind
1453	töten
1454	Tötung
1455	Kilometer
1456	Art (Art)
1457	freundlich (fürsorglich)
1458	König
1459	Kuss
1460	Küche
1461	Knie
1462	Messer
1463	klopfen
1464	kennt
1465	Wissen
1466	Labor
1467	Etikett
1468	Labor
1469	Arbeit
1470	Mangel
1471	Dame
1472	See
1473	Lampe
1474	Land
1475	Landschaft
1476	Sprache
1477	Laptop
1478	groß
1479	weitgehend
1480	last1 (endgültig)
1481	last1 (sich Zeit nehmen)
1482	spät
1483	später
1484	neueste
1485	Lachen
1486	Lachen
1487	Start
1488	Gesetz
1489	Anwalt
1490	legen
1491	Schicht
1492	faul
1493	führen1
1494	Führer
1495	Führung
1496	führend
1497	Blatt
1498	Liga
1499	mager
1500	lernen
1501	Lernen
1502	am wenigsten
1503	Leder
1504	verlassen
1505	Vorlesung
1506	links
1507	Bein
1508	legal
1509	Freizeit
1510	Zitrone
1511	verleihen
1512	Länge
1513	weniger
1514	Lektion
1515	Lassen
1516	Buchstabe
1517	eben
1518	Bibliothek
1519	Lizenz
1520	liegen1
1521	lie2 (eine Lüge erzählen)
1522	Leben
1523	Lebensstil
1524	Aufzug
1525	Licht (von der Sonne/einer Lampe)
1526	leicht (nicht schwer)
1527	wie (ähnlich)
1528	mögen (finde jdn/etw angenehm)
1529	n.
1530	wahrscheinlich
1531	Grenze
1532	begrenzt
1533	Linie
1534	Verknüpfung
1535	Löwe
1536	Lippe
1537	Flüssigkeit
1538	aufführen
1539	Hören
1540	Hörer
1541	Literatur
1542	wenig
1543	leben1
1544	leben2
1545	lebhaft
1546	Leben
1547	Belastung
1548	Darlehen
1549	lokal
1550	Lokalisieren
1551	gelegen
1552	Lage
1553	sperren
1554	logisch
1555	einsam
1556	lang1
1557	langfristig
1558	sehen
1559	lose
1560	Herr
1561	LKW
1562	verlieren
1563	Verlust
1564	verirrt
1565	viel
1566	laut
1567	laut
1568	Liebe
1569	schön
1570	niedrig
1571	niedriger
1572	Glück
1573	Glücklich
1574	Mittagessen
1575	Lunge
1576	Luxus
1577	Maschine
1578	wütend
1579	Zeitschrift
1580	Magie
1581	Post
1582	hauptsächlich
1583	hauptsächlich
1584	pflegen
1585	Haupt
1586	mehrheitlich
1587	machen
1588	männlich
1589	Einkaufszentrum
1590	Mann
1591	verwalten
1592	Management
1593	Manager
1594	Benehmen
1595	viele
1596	Karte
1597	Marsch
1598	Kennzeichen
1599	Markt
1600	Marketing
1601	die Ehe
1602	verheiratet
1603	heiraten
1604	Masse
1605	fest
1606	Meister
1607	übereinstimmen (konkurrieren/korrespondieren)
1608	passend
1609	Material
1610	Mathematik
1611	Mathe
1612	Angelegenheit
1613	maximal
1614	Kann
1615	kann modal sein
1616	kann sein
1617	mich
1618	Mahlzeit
1619	bedeuten
1620	Bedeutung
1621	meint
1622	inzwischen
1623	messen
1624	Messung
1625	Fleisch
1626	Medien
1627	medizinisch
1628	Medizin
1629	Mittel
1630	Treffen
1631	treffen
1632	schmelzen
1633	Mitglied
1634	Erinnerung
1635	geistig
1636	nennen
1637	Speisekarte
1638	Chaos
1639	Botschaft
1640	Metall
1641	Methode
1642	Meter
1643	Mitte
1644	Mitternacht
1645	vielleicht modal
1646	leicht
1647	Meile
1648	Militär-
1649	Milch
1650	Millionenzahl
1651	Geist
1652	meins (gehört mir)
1653	meins (Loch im Boden)
1654	Mineral
1655	Minimum
1656	Minister
1657	unerheblich
1658	Minderheit
1659	minute1
1660	Spiegel
1661	fehlschlagen
1662	fehlen
1663	Mission
1664	Fehler
1665	mischen
1666	gemischt
1667	Mischung
1668	Handy, Mobiltelefon
1669	Modell
1670	modern
1671	ändern
1672	Moment
1673	Montag
1674	Geld
1675	Monitor
1676	Affe
1677	Monat
1678	Stimmung
1679	Mond
1680	Moral-
1681	mehr
1682	Morgen
1683	die meisten
1684	meist
1685	Mutter
1686	Motor-
1687	Motorrad
1688	montieren
1689	Berg
1690	Maus
1691	Mund
1692	Bewegung
1693	Bewegung
1694	Film
1695	viel
1696	Dreck
1697	mehrere
1698	multiplizieren
1699	Mama
1700	Mord
1701	Muskel
1702	Museum
1703	Musik
1704	Musical
1705	Musiker
1706	muss modal sein
1707	mein
1708	mich selbst
1709	mysteriös
1710	Geheimnis
1711	Nagel
1712	Name
1713	Narrativ
1714	eng
1715	Nation
1716	National
1717	einheimisch
1718	natürlich
1719	natürlich
1720	Natur
1721	nahe
1722	fast
1723	sauber
1724	Notwendig
1725	notwendig
1726	Nacken
1727	brauchen
1728	Nadel
1729	Negativ
1730	Nachbar
1731	Nachbarschaft
1732	weder
1733	Nerv
1734	nervös
1735	Netz
1736	Netzwerk
1737	noch nie
1738	Dennoch
1739	Neu
1740	Nachrichten
1741	Zeitung
1742	nächste
1743	neben
1744	Hübsch
1745	Nacht
1746	Albtraum
1747	neun
1748	neunzehn
1749	neunzig
1750	nein
1751	niemand
1752	niemand
1753	Lärm
1754	laut
1755	keiner
1756	Noch
1757	normal
1758	normalerweise
1759	Norden
1760	nördlich
1761	Nase
1762	nicht
1763	Hinweis
1764	nichts
1765	Notiz
1766	Vorstellung
1767	Roman
1768	November
1769	jetzt
1770	nirgends
1771	nuklear
1772	Nummer
1773	zahlreich
1774	Krankenschwester
1775	Mutter
1776	Folge leisten
1777	Objekt
1778	Zielsetzung
1779	Verpflichtung
1780	Überwachung
1781	observe
1782	obtain
1783	obvious
1784	obviously
1785	occasion
1786	occasionally
1787	occur
1788	ocean
1789	o’clock
1790	October
1791	odd
1792	of
1793	off
1794	offence
1795	offend
1796	offensive
1797	offer
1798	office
1799	officer
1800	official
1801	often
1802	oh
1803	oil
1804	OK
1805	old
1806	old-fashioned
1807	on
1808	once
1809	one
1810	onion
1811	online
1812	only
1813	onto
1814	open
1815	opening
1816	operate
1817	operation
1818	opinion
1819	opponent
1820	opportunity
1821	oppose
1822	opposed
1823	opposite
1824	opposition
1825	option
1826	or
1827	orange
1828	order
1829	ordinary
1830	organ
1831	organization
1832	organize
1833	organized
1834	organizer
