Sr	Palavras
342	Castanho
343	escovar
344	bolha
345	orçamento
346	construir
347	prédio
348	bala
349	monte
350	queimar
351	enterrar
352	ônibus
353	arbusto
354	o negócio
355	homem de negocios
356	ocupado
357	mas
358	manteiga
359	botão
360	Comprar
361	por
362	tchau
363	cabo
364	cafeteria
365	bolo
366	calcular
367	ligar
368	calma
369	Câmera
370	acampamento
371	campanha
372	acampamento
373	campus
374	lata1
375	lata2
376	cancelar
377	Câncer
378	candidato
379	não podes
380	boné
381	capaz
382	capacidade
383	capital
384	capitão
385	capturar
386	carro
387	cartão
388	Cuidado
389	carreira
390	cuidadoso
391	com cuidado
392	descuidado
393	tapete
394	cenoura
395	carregar
396	desenho animado
397	caso
398	dinheiro
399	elenco
400	castelo
401	gato
402	truque
403	categoria
404	causa
405	CD
406	teto
407	comemoro
408	celebração
409	celebridade
410	célula
411	centavo
412	central
413	Centro
414	século
415	cerimônia
416	certo
417	certamente
418	corrente
419	cadeira
420	presidente
421	desafio
422	campeão
423	chance
424	mudança
425	canal
426	capítulo
427	personagem
428	característica
429	carregar
430	caridade
431	gráfico
432	bater papo
433	barato
434	burlar
435	Verifica
436	chefe de cozinha
437	alegre
438	queijo
439	químico
440	química
441	peito
442	frango
443	chefe
444	filho
445	infância
446	lasca
447	chocolate
448	escolha
449	escolher
450	igreja
451	cigarro
452	cinema
453	círculo
454	circunstância
455	citar
456	cidadão
457	cidade
458	Civil
459	alegar
460	classe
461	clássico
462	clássico
463	Sala de aula
464	cláusula
465	limpar
466	Claro
467	claramente
468	inteligente
469	clique
470	cliente
471	clima
472	escalar
473	relógio
474	fechar1
475	fechar2
476	fechado
477	de perto
478	pano
479	roupas
480	confecções
481	nuvem
482	clube
483	dica
484	treinador
485	carvão
486	costa
487	casaco
488	código
489	café
490	moeda
491	resfriado
492	colapso
493	colega
494	coletar
495	coleção
496	faculdade
497	cor
498	colori
499	coluna
500	combinação
501	combinar
502	venha
503	comédia
504	conforto
505	confortável
506	comando
507	Comente
508	comercial
509	comissão
510	comprometer-se
511	compromisso
512	comitê
513	comum
514	comumente
515	comunicar
516	comunicação
517	comunidade
518	companhia
519	comparar
520	comparação
521	competir
522	concorrência
523	concorrente
524	competitivo
525	reclamar
526	reclamação
527	completo
528	completamente
529	complexo
530	complicado
531	componente
532	computador
533	concentrado
534	concentração
535	conceito
536	interesse
537	preocupado
538	show
539	concluir
540	conclusão
541	doença
542	conduta
543	conferência
544	confiança
545	confiante
546	confirme
547	conflito
548	confundir
549	confuso
550	confuso
551	conectar
552	conectado
553	conexão
554	consciente
555	consequência
556	conservador
557	considerar
558	consideração
559	consiste
560	consistente
561	constante
562	constantemente
563	construir
564	construção
565	consumir
566	consumidor
567	contato
568	conter
569	recipiente
570	contemporâneo
571	conteúdo1
572	concurso
573	contexto
574	continente
575	Prosseguir
576	contínuo
577	contrato
578	contraste
579	contribuir
580	contribuição
581	ao controle
582	conveniente
583	conversação
584	converter
585	convencer
586	convencido
587	cozinheiro
588	fogão
589	cozinhando
590	legal
591	cópia de
592	essencial
593	canto
594	corporativo
595	correto
596	corretamente
597	custo
598	traje
599	cabana
600	algodão
601	poderia
602	conselho
603	contar
604	país
605	campo
606	município
607	casal
608	coragem
609	curso
610	quadra
611	prima
612	cobrir
613	abordado
614	vaca
615	batida
616	louco
617	creme
618	crio
619	criação
620	criativo
621	criatura
622	crédito
623	equipe técnica
624	crime
625	Criminoso
626	crise
627	critério
628	crítico
629	crítico
630	crítica
631	criticar
632	colheita
633	Cruz
634	multidão
635	superlotado
636	crucial
637	cruel
638	choro
639	cultural
640	cultura
641	copo
642	armário
643	cura
644	encaracolado
645	moeda
646	atual
647	atualmente
648	cortina
649	curva
650	curvado
651	personalizadas
652	cliente
653	cortar
654	ciclo
655	Papai
656	diário
657	dano
658	dança
659	dançarino
660	dançando
661	perigo
662	perigoso
663	Sombrio
664	dados
665	encontro
666	filha
667	dia
668	morto
669	acordo
670	caro
671	morte
672	debate
673	dívida
674	década
675	dezembro
676	decente
677	decidir
678	decisão
679	declarar
680	declínio
681	decorar
682	decoração
683	diminuir
684	profundo
685	profundamente
686	derrota
687	defesa
688	defender
689	definir
690	definido
691	definitivamente
692	definição
693	grau
694	atraso
695	deliberar
696	deliberadamente
697	delicioso
698	prazer
699	encantado
700	entregar
701	Entrega
702	exigem
703	demonstrar
704	dentista
705	negar
706	departamento
707	partida
708	depender
709	depressivo
710	deprimente
711	profundidade
712	descrever
713	Descrição
714	deserto
715	merecer
716	Projeto
717	desenhista
718	desejo
719	mesa
720	desesperado
721	apesar de
722	destino
723	destruir
724	detalhe
725	detalhado
726	detectar
727	detetive
728	determinar
729	determinado
730	desenvolve
731	desenvolvimento
732	dispositivo
733	diagrama
734	diálogo
735	diamante
736	diário
737	dicionário
738	morrer
739	dieta
740	diferença
741	diferente
742	diferentemente
743	difícil
744	dificuldade
745	escavação
746	digital
747	jantar
748	direto
749	direção
750	diretamente
751	diretor
752	sujeira
753	sujo
754	Dis Adverbantage
755	discordo
756	desaparecer
757	desapontado
758	decepcionante
759	desastre
760	disco
761	disciplina
762	desconto
763	descobrir
764	descoberta
765	discutir
766	discussão
767	doença
768	prato
769	desonesto
770	não gosto
771	dispensar
772	exibição
773	distância
774	distribuir
775	distribuição
776	distrito
777	dividir
778	divisão
779	divorciado
780	do1
781	médico
782	documento
783	documentário
784	cão
785	dólar
786	doméstico
787	dominar
788	doar
789	porta
790	em dobro
791	_
792	dúvida
793	baixa
794	download
795	andar de baixo
796	para baixo
797	dúzia
798	rascunho
799	arrastar
800	drama
801	dramático
802	empate
803	desenho
804	Sonhe
805	vestir
806	vestido
807	beber
808	dirigir
809	condutor
810	dirigindo
811	derrubar
812	medicamento
813	tambor
814	bêbado
815	seco
816	vencimento
817	durante
818	pó
819	dever
820	DVD
821	cada
822	orelha
823	cedo
824	ganhar
825	terra
826	terremoto
827	facilmente
828	leste
829	Oriental
830	fácil
831	comer
832	econômico
833	economia
834	borda
835	editar
836	edição
837	editor
838	educar
839	educado
840	Educação
841	educacional
842	efeito
843	eficaz
844	efetivamente
845	eficiente
846	esforço
847	ovo
848	oito
849	dezoito
850	oitenta
851	qualquer
852	idoso
853	eleger
854	eleição
855	elétrico
856	elétrico
857	eletricidade
858	eletrônico
859	elemento
860	elefante
861	onze
862	senão
863	em outro lugar
864	o email
865	envergonhado
866	embaraçoso
867	emergir
868	emergência
869	emoção
870	emocional
871	ênfase
872	enfatizar
873	empregar
874	empregado
875	Empregador
876	emprego
877	vazio
878	permitir
879	encontro
880	encorajar
881	fim
882	final
883	inimigo
884	energia
885	se empenhar
886	noivo
887	motor
888	engenheiro
889	Engenharia
890	realçar
891	desfrutar
892	enorme
893	o suficiente
894	investigação
895	garantir
896	digitar
897	entreter
898	entretenimento
899	entusiasmo
900	entusiasmado
901	inteira
902	inteiramente
903	Entrada
904	entrada
905	meio Ambiente
906	de Meio Ambiente
907	episódio
908	igual
909	igualmente
910	equipamento
911	erro
912	escapar
913	especialmente
914	ensaio
915	essencial
916	estabelecer
917	Estado
918	estimativa
919	ético
920	euro
921	Avalie
922	até
923	tarde
924	evento
925	eventualmente
926	sempre
927	todo
928	todo o mundo
929	todo dia
930	todos
931	tudo
932	em toda parte
933	evidência
934	mal
935	exato
936	exatamente
937	exame
938	exame
939	examinar
940	exemplo
941	excelente
942	exceto
943	intercâmbio
944	animado
945	excitação
946	excitante
947	com licença
948	executivo
949	exercício
950	exibição
951	existir
952	existência
953	expandir
954	Espero
955	expectativa
956	esperado
957	expedição
958	despesa
959	caro
960	experiência
961	com experiência
962	experimentar
963	especialista
964	explique
965	explicação
966	explodir
967	exploração
968	explorar
969	explosão
970	exportar
971	expor
972	expressar
973	expressão
974	ampliar
975	extensão
976	externo
977	extra
978	extraordinário
979	extremo
980	extremamente
981	olho
982	enfrentar
983	instalação
984	facto
985	fator
986	fábrica
987	falhou
988	falha
989	feira
990	com justiça
991	fé
992	cair
993	FALSO
994	familiar
995	família
996	famoso
997	fã
998	gostar
999	fantástico
1000	distante
1001	Fazenda
1002	agricultor
1003	agricultura
1004	fascinante
1005	moda
1006	elegante
1007	velozes
1008	prender
1009	gordo
1010	pai
1011	culpa
1012	Favor
1013	favorito
1014	temer
1015	pena
1016	característica
1017	Fevereiro
1018	taxa
1019	alimentação
1020	retorno
1021	sentir
1022	sentimento
1023	companheiro
1024	fêmea
1025	cerca
1026	festival
1027	alguns
1028	ficção
1029	campo
1030	quinze
1031	quinto
1032	cinquenta
1033	lutar
1034	brigando
1035	figura
1036	Arquivo
1037	encher
1038	filme
1039	final
1040	finalmente
1041	finança
1042	financeiro
1043	achar
1044	encontrando
1045	multar
1046	dedo
1047	Finalizar
1048	incêndio
1049	empresa
1050	primeiro
1051	em primeiro lugar
1052	peixe
1053	pescaria
1054	em forma
1055	ginástica
1056	cinco
1057	fixar
1058	fixo
1059	bandeira
1060	chama
1061	instantâneo
1062	apartamento
1063	flexível
1064	voar
1065	flutuador
1066	enchente
1067	piso
1068	farinha
1069	fluxo
1070	flor
1071	gripe
1072	voe
1073	vôo
1074	foco
1075	dobrar
1076	dobrando
1077	povo
1078	Segue
1079	Segue
1080	Comida
1081	pé
1082	futebol
1083	por
1084	força
1085	estrangeiro
1086	floresta
1087	para todo sempre
1088	esquecer
1089	perdoar
1090	garfo
1091	Formato
1092	formal
1093	antigo
1094	felizmente
1095	fortuna
1096	quarenta
1097	frente
1098	encontrado
1099	quatro
1100	quatorze
1101	quarto
1102	quadro
1103	gratuitamente
1104	liberdade
1105	congelar
1106	frequência
1107	freqüentemente
1108	fresco
1109	Sexta-feira
1110	frigorífico
1111	amigo
1112	amigáveis
1113	amizade
1114	amedrontar
1115	assustado
1116	assustador
1117	rã
1118	a partir de
1119	frente
1120	congeladas
1121	fruta
1122	fritar
1123	combustível
1124	cheio
1125	totalmente
1126	Diversão
1127	função
1128	fundo
1129	fundamental
1130	financiamento
1131	engraçado
1132	pelagem
1133	mobiliário
1134	mais longe
1135	além do mais
1136	futuro
1137	ganho
1138	galeria
1139	jogos
1140	gangue
1141	Gap = Vão
1142	garagem
1143	jardim
1144	gás
1145	portão
1146	reunir
1147	em geral
1148	geralmente
1149	gerar
1150	geração
1151	generoso
1152	gênero
1153	□ Gentil
1154	cavalheiro
1155	geografia
1156	pegue
1157	fantasma
1158	gigante
1159	Presente
1160	menina
1161	Namorada
1162	dar
1163	alegre
1164	vidro
1165	global
1166	luva
1167	vai
1168	meta
1169	Deus
1170	ouro
1171	golfe
1172	Boa
1173	adeus
1174	bens
1175	governo
1176	governo
1177	agarrar
1178	avaliar
1179	gradualmente
1180	diplomado
1181	grão
1182	grande
1183	Vô
1184	avó
1185	avó
1186	conceder
1187	Relva
1188	grato
1189	excelente
1190	verde
1191	saudar
1192	cinza
1193	chão
1194	grupo
1195	crescer
1196	crescimento
1197	garantia
1198	guarda
1199	acho
1200	convidado
1201	guia
1202	culpado
1203	violão
1204	arma de fogo
1205	cara
1206	academia
1207	hábito
1208	cabelo
1209	metade
1210	corredor
1211	mão
1212	lidar com
1213	pendurar
1214	acontecer
1215	Felizmente
1216	felicidade
1217	feliz
1218	duro
1219	dificilmente
1220	prejuízo
1221	prejudicial
1222	chapéu
1223	odiar
1224	tenho
1225	tem que modal
1226	ele
1227	cabeça
1228	dor de cabeça
1229	título
1230	saúde
1231	saudável
1232	ouvir
1233	audição
1234	coração
1235	aquecer
1236	aquecimento
1237	paraíso
1238	pesadamente
1239	pesado
1240	salto
1241	altura
1242	helicóptero
1243	inferno
1244	olá
1245	ajuda
1246	útil
1247	sua
1248	aqui
1249	herói
1250	dela
1251	ela própria
1252	hesite
1253	Ei
1254	Oi
1255	ocultar
1256	Alto
1257	realçar
1258	altamente
1259	colina
1260	dele
1261	ele mesmo
1262	contratar
1263	seu
1264	histórico
1265	histórico
1266	história
1267	acertar
1268	passatempo
1269	hóquei
1270	aguarde
1271	buraco
1272	feriado
1273	oco
1274	piedosos
1275	casa
1276	trabalho de casa
1277	honesto
1278	honra
1279	ter esperança
1280	horrível
1281	Horror
1282	cavalo
1283	hospital
1284	hospedeiro
1285	quente
1286	hotel
1287	hora
1288	lar
1289	doméstico
1290	habitação
1291	Como as
1292	Contudo
1293	enorme
1294	humano
1295	bem-humorado
1296	humor
1297	centenas
1298	com fome
1299	caçar
1300	Caçando
1301	furacão
1302	pressa
1303	ferir
1304	esposo
1305	EU
1306	gelo
1307	sorvete
1308	idéia
1309	ideal
1310	identificar
1311	identidade
1312	E se
1313	ignorar
1314	doente
1315	ilegal
1316	doença
1317	ilustrar
1318	ilustração
1319	imagem
1320	imaginário
1321	imaginação
1322	Imagine
1323	imediato
1324	imediatamente
1325	imigrante
1326	impacto
1327	impaciente
1328	implicar
1329	importar
1330	importância
1331	importante
1332	impor
1333	impossível
1334	impressionar
1335	impressionado
1336	impressão
1337	impressionante
1338	melhorar
1339	melhoria
1340	dentro
1341	polegada
1342	incidente
1343	incluir
1344	incluído
1345	Incluindo
1346	renda
1347	aumentar
1348	cada vez mais
1349	incrível
1350	incrivelmente
1351	na verdade
1352	independente
1353	indicar
1354	indireto
1355	Individual
1356	interior
1357	dentro de casa
1358	industrial
1359	indústria
1360	infecção
1361	influência
1362	informar
1363	informal
1364	em formação
1365	ingrediente
1366	inicial
1367	inicialmente
1368	iniciativa
1369	ferir
1370	ferido
1371	prejuízo
1372	interno
1373	inocente
1374	inseto
1375	lado de dentro
1376	entendimento
1377	insistir
1378	inspirar
1379	instalar
1380	instância
1381	em vez de
1382	instituto
1383	instituição
1384	instrução
1385	instrutor
1386	instrumento
1387	seguro
1388	inteligência
1389	inteligente
1390	pretende
1391	pretendido
1392	intenso
1393	intenção
1394	interesse
1395	interessado
1396	interessante
1397	interno
1398	internacional
1399	Internet
1400	interpretar
1401	interromper
1402	entrevista
1403	em
1404	introduzir
1405	introdução
1406	inventar
1407	invenção
1408	investir
1409	investigar
1410	investigação
1411	investimento
1412	convite
1413	convidar
1414	envolver
1415	envolvido
1416	ferro
1417	ilha
1418	questão
1419	ISTO
1420	isto
1421	item
1422	Está
1423	em si
1424	jaqueta
1425	geléia
1426	Janeiro
1427	jazz
1428	jeans
1429	jóias
1430	trabalho
1431	Junte
1432	Piada
1433	Diário
1434	jornalista
1435	jornada
1436	alegria
1437	juiz
1438	julgamento
1439	suco
1440	Julho
1441	pular
1442	Junho
1443	júnior
1444	apenas
1445	justiça
1446	justificar
1447	ansioso
1448	guarda
1449	chave
1450	teclado
1451	chute
1452	miúdo
1453	matar
1454	matando
1455	quilômetro
1456	tipo (tipo)
1457	gentil (carinhoso)
1458	rei
1459	beijo
1460	cozinha
1461	joelho
1462	faca
1463	bater
1464	conhecer
1465	conhecimento
1466	laboratório
1467	etiqueta
1468	laboratório
1469	trabalho
1470	falta
1471	senhora
1472	lago
1473	lâmpada
1474	terra
1475	paisagem
1476	Língua
1477	computador portátil
1478	ampla
1479	largamente
1480	último1 (final)
1481	last1 (tendo tempo)
1482	tarde
1483	mais tarde
1484	Mais recentes
1485	riso
1486	risada
1487	lançar
1488	lei
1489	advogado
1490	colocar
1491	camada
1492	preguiçoso
1493	lead1
1494	líder
1495	Liderança
1496	conduzindo
1497	folha
1498	liga
1499	magro
1500	aprender
1501	Aprendendo
1502	ao menos
1503	couro
1504	sair
1505	palestra
1506	deixei
1507	perna
1508	jurídico
1509	lazer
1510	limão
1511	emprestar
1512	comprimento
1513	menos
1514	lição
1515	deixar
1516	carta
1517	nível
1518	biblioteca
1519	licença
1520	mentira1
1521	mentira2 (contar uma mentira)
1522	vida
1523	estilo de vida
1524	levantar
1525	luz (do sol/uma lâmpada)
1526	leve (não pesado)
1527	gostar (semelhante)
1528	gostar (achar sb/sth agradável)
1529	n.
1530	provável
1531	limite
1532	limitado
1533	linha
1534	link
1535	leão
1536	lábio
1537	líquido
1538	Lista
1539	ouço
1540	ouvinte
1541	literatura
1542	pequena
1543	ao vivo1
1544	viver2
1545	vivaz
1546	vivo
1547	carregar
1548	empréstimo
1549	local
1550	localizar
1551	localizado
1552	localização
1553	trancar
1554	lógico
1555	sozinho
1556	long1
1557	longo prazo
1558	olhar
1559	solto
1560	senhor
1561	caminhão
1562	perder
1563	perda
1564	perdido
1565	muito
1566	alto
1567	ruidosamente
1568	amor
1569	encantador
1570	baixo
1571	mais baixo
1572	sorte
1573	afortunado
1574	almoço
1575	pulmão
1576	luxo
1577	máquina
1578	louco
1579	revista
1580	Magia
1581	correspondência
1582	a Principal
1583	principalmente
1584	manter
1585	formar-se
1586	maioria
1587	faço
1588	macho
1589	Shopping
1590	cara
1591	gerir
1592	gestão
1593	Gerente
1594	maneiras
1595	muitos
1596	mapa
1597	Marchar
1598	marca
1599	mercado
1600	marketing
1601	casado
1602	casado
1603	casar
1604	massa
1605	maciço
1606	mestre
1607	match (competir/corresponder)
1608	Coincidindo
1609	material
1610	matemática
1611	Matemáticas
1612	matéria
1613	máximo
1614	Poderia
1615	pode modal
1616	pode ser
1617	Eu
1618	refeição
1619	significa
1620	significado
1621	significa
1622	Enquanto isso
1623	a medida
1624	medição
1625	eu no
1626	meios de comunicação
1627	médico
1628	medicamento
1629	médio
1630	encontrar
1631	encontro
1632	fundição
1633	membro
1634	memória
1635	mental
1636	menção
1637	cardápio
1638	bagunça
1639	mensagem
1640	metal
1641	método
1642	metro
1643	meio
1644	meia-noite
1645	pode ser modal
1646	suave
1647	milha
1648	militares
1649	leite
1650	número de milhões
1651	mente
1652	meu (pertence a mim)
1653	mina (buraco no chão)
1654	mineral
1655	mínimo
1656	ministro
1657	menor
1658	minoria
1659	minuto1
1660	espelho
1661	senhorita
1662	ausência de
1663	missão
1664	erro
1665	misturar
1666	misturado
1667	mistura
1668	Móvel
1669	modelo
1670	moderno
1671	modificar
1672	momento
1673	Segunda-feira
1674	dinheiro
1675	monitor
1676	macaco
1677	mês
1678	humor
1679	lua
1680	moral
1681	mais
1682	manhã
1683	a maioria
1684	majoritariamente
1685	mãe
1686	motor
1687	motocicleta
1688	montar
1689	montanha
1690	rato
1691	boca
1692	jogada
1693	movimento
1694	filme
1695	Muito de
1696	lama
1697	múltiplo
1698	multiplicar
1699	mãe
1700	assassinato
1701	músculo
1702	museu
1703	música
1704	musical
1705	músico
1706	deve ser modal
1707	minha
1708	Eu mesmo
1709	misterioso
1710	mistério
1711	unha
1712	nome
1713	narrativa
1714	estreito
1715	nação
1716	nacional
1717	nativo
1718	natural
1719	naturalmente
1720	natureza
1721	aproximar
1722	por pouco
1723	organizado
1724	necessariamente
1725	necessário
1726	pescoço
1727	precisar
1728	agulha
1729	negativo
1730	vizinho
1731	vizinhança
1732	nenhum
1733	nervo
1734	nervoso
1735	internet
1736	rede
1737	Nunca
1738	mesmo assim
1739	novo
1740	notícia
1741	jornal
1742	próximo
1743	ao lado de
1744	legais
1745	noite
1746	pesadelo
1747	nove
1748	dezenove
1749	noventa
1750	não
1751	ninguém
1752	ninguém
1753	ruído
1754	barulhento
1755	Nenhum
1756	nem
1757	normal
1758	normalmente
1759	norte
1760	norte
1761	nariz
1762	não
1763	Nota
1764	nada
1765	perceber
1766	noção
1767	novela
1768	novembro
1769	agora
1770	lugar algum
1771	nuclear
1772	número
1773	numerosos
1774	enfermeira
1775	porca
1776	obedecer
1777	objeto
1778	objetivo
1779	obrigação
1780	observação
1781	observar
1782	obtivermos
1783	óbvio
1784	obviamente
1785	ocasião
1786	ocasionalmente
1787	ocorrer
1788	oceano
1789	horas
1790	Outubro
1791	ímpar
1792	do
1793	desligado
1794	ofensa
1795	ofender
1796	ofensiva
1797	oferta
1798	escritório
1799	Policial
1800	oficial
1801	muitas vezes
1802	oh
1803	óleo
1804	OK
1805	velho
1806	antiquado
1807	sobre
1808	uma vez
1809	1
1810	cebola
1811	conectados
1812	só
1813	para
1814	abrir
1815	abertura
1816	operar
1817	Operação
1818	opinião
1819	oponente
1820	oportunidade
1821	opor
1822	oposto
1823	oposto
1824	oposição
1825	opção
1826	ou
1827	laranja
1828	ordem
1829	comum
1830	órgão
1831	organização
1832	organizar
1833	organizado
1834	organizador
1835	origem
1836	original
1837	originalmente
1838	outro
1839	por outro lado
1840	deveria
1841	nosso
1842	nosso
1843	nós mesmos
1844	Fora
1845	resultado
1846	ar livre
1847	ao ar livre
1848	exterior
1849	contorno
1850	fora
1851	forno
1852	sobre
1853	No geral
1854	dever
1855	ter
1856	proprietário
1857	ritmo
1858	pacote
1859	pacote
1860	página
1861	dor
1862	doloroso
1863	pintar
1864	pintor
1865	quadro
1866	par
1867	Palácio
1868	pálido
1869	frigideira
1870	painel
1871	calça
1872	papel
1873	parágrafo
1874	pai
1875	parque
1876	estacionamento
1877	parlamento
1878	papel
1879	participante
1880	participar
1881	especial
1882	particularmente
1883	parcialmente
1884	parceiro
1885	Festa
1886	passar
1887	passagem
1888	passageiro
1889	paixão
1890	Passaporte
1891	passado
1892	caminho
1893	paciente
1894	padronizar
1895	pagar
1896	Forma de pagamento
1897	Paz
1898	pacífico
1899	caneta
1900	lápis
1901	centavo
1902	pensão1
1903	pessoas
1904	pimenta
1905	por
1906	por cento
1907	percentagem
1908	perfeito
1909	perfeitamente
1910	executar
1911	atuação
1912	talvez
1913	período
1914	permanente
1915	permissão
1916	permitir
1917	pessoa
1918	pessoal
1919	personalidade
1920	pessoalmente
1921	perspectiva
1922	persuadir
1923	bicho de estimação
1924	gasolina
1925	Estágio
1926	fenômeno
1927	filosofia
1928	telefone
1929	foto
1930	fotografia
1931	fotógrafo
1932	fotografia
1933	frase
1934	fisica
1935	física
1936	piano
1937	escolha
1938	foto
1939	peça
1940	porco
1941	pilha
1942	piloto
1943	alfinete
1944	rosa
1945	cano
1946	tom
1947	Lugar, colocar
1948	avião
1949	plano
1950	avião
1951	planeta
1952	planejamento
1953	plantar
1954	plástico
1955	prato
1956	plataforma
1957	Toque
1958	jogador
1959	prazeroso
1960	por favor
1961	satisfeito
1962	prazer
1963	bastante
1964	enredo
1965	mais1
1966	bolso
1967	poema
1968	poeta
1969	poesia
1970	ponto
1971	apontado
1972	tóxico
1973	venenoso
1974	polícia
1975	policial
1976	política
1977	educado
1978	político
1979	político
1980	política
1981	poluição
1982	piscina
1983	pobre
1984	pop
1985	popular
1986	popularidade
1987	população
1988	porta
1989	retrato
1990	pose
1991	posição
1992	positivo
1993	possuir
1994	posse
1995	possibilidade
1996	possível
1997	possivelmente
1998	publicar
1999	poster
2000	Panela
2001	batata
2002	potencial
2003	libra
2004	derramar
2005	pobreza
2006	em pó
2007	potência
2008	poderoso
2009	prático
2010	prática
2011	prática
2012	elogio
2013	rezar
2014	oração
2015	prever
2016	predição
2017	preferir
2018	grávida
2019	preparação
2020	preparar
2021	preparado
2022	presença
2023	presente
2024	apresentação
2025	preservar
2026	Presidente
2027	pressione
2028	pressão
2029	fingir
2030	bonito
2031	evita
2032	anterior
2033	anteriormente
2034	preço
2035	padre
2036	primário
2037	melhor
2038	Principe
2039	Princesa
2040	princípio
2041	imprimir
2042	impressora
2043	impressão
2044	prioridade
2045	prisão
2046	prisioneiro
2047	privacidade
2048	privado
2049	prêmio
2050	provavelmente
2051	problema
2052	procedimento
2053	processo
2054	produzir
2055	produtor
2056	produtos
2057	Produção
2058	profissão
2059	profissional
2060	professor
2061	perfil
2062	lucro
2063	programa
2064	programa
2065	progresso
2066	projeto
2067	promessa
2068	promover
2069	pronunciar
2070	prova
2071	apropriado
2072	devidamente
2073	propriedade
