锶	字
975	程度
976	外部的
977	额外的
978	非凡的
979	极端
980	极其
981	眼睛
982	脸
983	设施
984	事实
985	因素
986	工厂
987	失败
988	失败
989	公平的
990	相当
991	信仰
992	落下
993	错误的
994	熟悉的
995	家庭
996	著名的
997	扇子
998	想要
999	极好的
1000	远的
1001	农场
1002	农民
1003	农业
1004	迷人
1005	时尚
1006	时髦
1007	快速地
1008	系
1009	胖的
1010	父亲
1011	过错
1012	赞成
1013	最喜欢的
1014	恐惧
1015	羽毛
1016	特征
1017	二月
1018	费用
1019	喂养
1020	反馈
1021	感觉
1022	感觉
1023	老乡
1024	女性
1025	栅栏
1026	节日
1027	很少
1028	小说
1029	场地
1030	十五
1031	第五
1032	五十
1033	斗争
1034	斗争
1035	数字
1036	文件
1037	充满
1038	电影
1039	最后
1040	最后
1041	金融
1042	金融
1043	寻找
1044	发现
1045	美好的
1046	手指
1047	结束
1048	火
1049	公司
1050	第一的
1051	第一
1052	鱼
1053	钓鱼
1054	合身
1055	健康
1056	五
1057	使固定
1058	固定的
1059	旗帜
1060	火焰
1061	闪光
1062	平坦的
1063	灵活的
1064	航班
1065	漂浮
1066	洪水
1067	地面
1068	面粉
1069	流动
1070	花
1071	流感
1072	飞
1073	飞行
1074	重点
1075	折叠
1076	折叠式的
1077	民间
1078	跟随
1079	下列的
1080	食物
1081	脚
1082	足球
1083	为了
1084	力量
1085	外国的
1086	森林
1087	永远
1088	忘记
1089	原谅
1090	叉子
1091	形式
1092	正式的
1093	以前的
1094	幸运的是
1095	财富
1096	四十
1097	向前
1098	成立
1099	四
1100	十四
1101	第四
1102	框架
1103	自由的
1104	自由
1105	冻结
1106	频率
1107	频繁地
1108	新鲜的
1109	星期五
1110	冰箱
1111	朋友
1112	友谊赛
1113	友谊
1114	吓唬
1115	受惊
1116	可怕的
1117	青蛙
1118	从
1119	正面
1120	冻结的
1121	水果
1122	炒
1123	汽油
1124	满的
1125	充分地
1126	乐趣
1127	功能
1128	基金
1129	基本的
1130	资金
1131	有趣的
1132	毛皮
1133	家具
1134	更远
1135	此外
1136	未来
1137	获得
1138	画廊
1139	游戏
1140	团伙
1141	差距
1142	车库
1143	花园
1144	气体
1145	门
1146	收集
1147	一般的
1148	一般来说
1149	产生
1150	一代
1151	慷慨的
1152	类型
1153	温和的
1154	绅士
1155	地理
1156	得到
1157	鬼
1158	巨大的
1159	礼物
1160	女孩
1161	女朋友
1162	给
1163	高兴的
1164	玻璃
1165	全球的
1166	手套
1167	去
1168	目标
1169	上帝
1170	金子
1171	高尔夫球
1172	好的
1173	再见
1174	商品
1175	治理
1176	政府
1177	抓住
1178	年级
1179	逐步地
1180	毕业
1181	粮食
1182	盛大
1183	祖父
1184	祖母
1185	祖父母
1186	授予
1187	草
1188	感激的
1189	伟大的
1190	绿色
1191	迎接
1192	灰色的
1193	地面
1194	团体
1195	生长
1196	生长
1197	保证
1198	警卫
1199	猜测
1200	来宾
1201	指导
1202	有罪的
1203	吉他
1204	枪
1205	家伙
1206	健身房
1207	习惯
1208	头发
1209	一半
1210	大厅
1211	手
1212	处理
1213	悬挂
1214	发生
1215	快乐地
1216	幸福
1217	快乐的
1218	难的
1219	几乎不
1220	伤害
1221	有害
1222	帽子
1223	恨
1224	有
1225	必须模态
1226	他
1227	头
1228	头痛
1229	标题
1230	健康
1231	健康
1232	听到
1233	听力
1234	心
1235	热
1236	加热
1237	天堂
1238	沉重地
1239	重的
1240	脚跟
1241	高度
1242	直升机
1243	地狱
1244	你好
1245	帮助
1246	有帮助
1247	她
1248	这里
1249	英雄
1250	她的
1251	她自己
1252	犹豫
1253	嘿
1254	你好
1255	隐藏
1256	高的
1257	强调
1258	高度
1259	爬坡道
1260	他
1261	他自己
1262	聘请
1263	他的
1264	历史性
1265	历史的
1266	历史
1267	打
1268	爱好
1269	曲棍球
1270	抓住
1271	洞
1272	假期
1273	空洞的
1274	圣
1275	家
1276	家庭作业
1277	诚实的
1278	荣誉
1279	希望
1280	可怕
1281	恐怖
1282	马
1283	医院
1284	主持人
1285	热的
1286	酒店
1287	小时
1288	屋
1289	家庭
1290	住房
1291	如何
1292	然而
1293	巨大的
1294	人类
1295	幽默
1296	幽默
1297	百
1298	饥饿的
1299	打猎
1300	打猎
1301	飓风
1302	匆忙
1303	伤害
1304	丈夫
1305	我
1306	冰
1307	冰淇淋
1308	主意
1309	理想的
1310	确认
1311	身份
1312	如果
1313	忽视
1314	患病的
1315	非法的
1316	疾病
1317	阐明
1318	插图
1319	图片
1320	假想
1321	想像力
1322	想象
1323	即时
1324	立即地
1325	移民
1326	影响
1327	不耐烦
1328	意味着
1329	进口
1330	重要性
1331	重要的
1332	强加
1333	不可能的
1334	留下深刻印象
1335	印象深刻
1336	印象
1337	感人的
1338	提升
1339	改进
1340	在
1341	英寸
1342	事件
1343	包括
1344	包括
1345	包含
1346	收入
1347	增加
1348	日益
1349	极好的
1350	令人难以置信
1351	的确
1352	独立的
1353	表明
1354	间接
1355	个人
1356	室内的
1357	在室内
1358	工业的
1359	行业
1360	感染
1361	影响
1362	通知
1363	非正式的
1364	信息
1365	成分
1366	最初的
1367	最初
1368	倡议
1369	损伤
1370	受伤
1371	受伤
1372	内
1373	清白的
1374	昆虫
1375	里面
1376	洞察力
1377	坚持
1378	启发
1379	安装
1380	实例
1381	反而
1382	研究所
1383	机构
1384	操作说明
1385	讲师
1386	乐器
1387	保险
1388	智力
1389	聪明的
1390	打算
1391	故意的
1392	激烈的
1393	意图
1394	兴趣
1395	感兴趣的
1396	有趣的
1397	内部的
1398	国际的
1399	互联网
1400	解释
1401	打断
1402	面试
1403	进入
1404	介绍
1405	介绍
1406	发明
1407	发明
1408	投资
1409	调查
1410	调查
1411	投资
1412	邀请函
1413	邀请
1414	涉及
1415	涉及
1416	铁
1417	岛
1418	问题
1419	它
1420	它
1421	物品
1422	它的
1423	本身
1424	夹克
1425	果酱
1426	一月
1427	爵士乐
1428	牛仔裤
1429	首饰
1430	工作
1431	加入
1432	玩笑
1433	杂志
1434	记者
1435	旅行
1436	喜悦
1437	法官
1438	判断
1439	果汁
1440	七月
1441	跳
1442	六月
1443	初级
1444	只是
1445	正义
1446	证明合法
1447	敏锐的
1448	保持
1449	钥匙
1450	键盘
1451	踢
1452	孩子
1453	杀
1454	杀戮
1455	公里
1456	种类（类型）
1457	善良（关怀）
1458	王
1459	吻
1460	厨房
1461	膝盖
1462	刀
1463	敲
1464	知道
1465	知识
1466	实验室
1467	标签
1468	实验室
1469	劳动
1470	缺少
1471	淑女
1472	湖
1473	灯
1474	土地
1475	景观
1476	语
1477	笔记本电脑
1478	大的
1479	大部分
1480	last1（最终）
1481	last1（花时间）
1482	晚的
1483	之后
1484	最新的
1485	笑
1486	笑声
1487	发射
1488	法律
1489	律师
1490	躺着
1491	层
1492	懒惰的
1493	铅1
1494	领导者
1495	领导
1496	领导
1497	叶子
1498	联盟
1499	倾斜
1500	学
1501	学习
1502	至少
1503	皮革
1504	离开
1505	演讲
1506	剩下
1507	腿
1508	合法的
1509	闲暇
1510	柠檬
1511	借
1512	长度
1513	较少的
1514	课
1515	让
1516	信
1517	等级
1518	图书馆
1519	执照
1520	谎言1
1521	lie2（说谎）
1522	生活
1523	生活方式
1524	电梯
1525	光（来自太阳/一盏灯）
1526	轻（不重）
1527	像（类似的）
1528	喜欢（觉得某人/某事愉快）
1529	名词
1530	可能
1531	限制
1532	有限的
1533	线
1534	关联
1535	狮子
1536	唇
1537	液体
1538	列表
1539	听
1540	倾听者
1541	文学
1542	小的
1543	直播1
1544	直播2
1545	活泼
1546	活的
1547	加载
1548	贷款
1549	当地的
1550	定位
1551	位于
1552	地点
1553	锁
1554	合乎逻辑的
1555	孤独
1556	长1
1557	长期
1558	看
1559	松动的
1560	主
1561	货车
1562	失去
1563	失利
1564	丢失的
1565	很多
1566	大声
1567	高声
1568	爱
1569	迷人的
1570	低的
1571	降低
1572	运气
1573	幸运的
1574	午餐
1575	肺
1576	奢华
1577	机器
1578	疯狂的
1579	杂志
1580	魔法
1581	邮件
1582	主要的
1583	主要是
1584	维持
1585	重大的
1586	多数
1587	制作
1588	男性
1589	购物中心
1590	男人
1591	管理
1592	管理
1593	经理
1594	方式
1595	许多
1596	地图
1597	行进
1598	标记
1599	市场
1600	营销
1601	婚姻
1602	已婚
1603	结婚
1604	大量的
1605	大量的
1606	掌握
1607	比赛（比赛/对应）
1608	匹配
1609	材料
1610	数学
1611	数学
1612	事情
1613	最大
1614	可能
1615	可能模态
1616	也许
1617	我
1618	一顿饭
1619	意思是
1620	意义
1621	方法
1622	同时
1623	措施
1624	测量
1625	肉
1626	媒体
1627	医疗的
1628	药物
1629	中等的
1630	遇见
1631	会议
1632	熔化
1633	成员
1634	记忆
1635	精神的
1636	提到
1637	菜单
1638	混乱
1639	信息
1640	金属
1641	方法
1642	仪表
1643	中间
1644	午夜
1645	可能模态
1646	温和的
1647	英里
1648	军队
1649	牛奶
1650	百万数字
1651	头脑
1652	我的（属于我的）
1653	我的（地上的洞）
1654	矿物
1655	最低限度
1656	部长
1657	次要的
1658	少数民族
1659	分钟1
1660	镜子
1661	错过
1662	失踪
1663	使命
1664	错误
1665	混合
1666	混合的
1667	混合物
1668	移动的
1669	模型
1670	现代的
1671	调整
1672	片刻
1673	周一
1674	钱
1675	监视器
1676	猴
1677	月
1678	情绪
1679	月亮
1680	道德
1681	更多的
1682	早晨
1683	最多
1684	大多
1685	母亲
1686	马达
1687	摩托车
1688	山
1689	山
1690	鼠
1691	嘴
1692	移动
1693	移动
1694	电影
1695	很多
1696	泥
1697	多
1698	乘
1699	妈妈
1700	谋杀
1701	肌肉
1702	博物馆
1703	音乐
1704	音乐
1705	音乐家
1706	必须模态
1707	我的
1708	我
1709	神秘
1710	神秘
1711	指甲
1712	姓名
1713	叙述
1714	狭窄
1715	国家
1716	国民
1717	本国的
1718	自然
1719	自然
1720	自然
1721	靠近
1722	几乎
1723	整洁的
1724	一定
1725	必要的
1726	脖子
1727	需要
1728	针
1729	消极的
1730	邻居
1731	邻里
1732	两者都不
1733	神经
1734	紧张的
1735	网
1736	网络
1737	绝不
1738	尽管如此
1739	新的
1740	消息
1741	报纸
1742	下一个
1743	旁边
1744	好的
1745	夜晚
1746	恶梦
1747	九
1748	十九
1749	九十
1750	不
1751	没有人
1752	没有人
1753	噪音
1754	嘈杂
1755	没有任何
1756	也不
1757	普通的
1758	一般
1759	北
1760	北方
1761	鼻子
1762	不是
1763	笔记
1764	没有什么
1765	注意
1766	概念
1767	小说
1768	十一月
1769	现在
1770	无处
1771	核
1772	数字
1773	很多的
1774	护士
1775	坚果
1776	遵守
1777	目的
1778	客观的
1779	义务
1780	观察
1781	观察
1782	获得
1783	明显的
1784	明显地
1785	场合
1786	偶尔
1787	发生
1788	海洋
1789	点钟
1790	十月
1791	奇怪的
1792	的
1793	离开
1794	罪行
1795	得罪
1796	进攻
1797	提供
1798	办公室
1799	官
1800	官方的
1801	经常
1802	哦
1803	油
1804	好的
1805	老的
1806	老式的
1807	上
1808	一次
1809	一
1810	洋葱
1811	在线的
1812	只要
1813	到
1814	打开
1815	开口
1816	操作
1817	手术
1818	观点
1819	对手
1820	机会
1821	反对
1822年	反对的
1823	对面的
1824	反对
1825	选项
1826年	或者
1827年	橙
1828年	命令
1829	普通的
1830	器官
1831年	组织
1832年	组织
1833年	有组织的
1834年	组织者
1835年	起源
1836年	原来的
1837年	起初
1838年	其他
1839年	否则
1840	应该
1841年	我们的
1842年	我们的
1843年	我们自己
1844年	出去
1845年	结果
1846年	户外的
1847年	户外
1848年	外
1849年	大纲
1850年	外部
1851年	烤箱
1852年	超过
1853年	全面的
1854年	欠
1855年	自己的
1856年	所有者
1857年	步伐
1858年	盒
1859年	包裹
1860年	页
1861年	疼痛
1862年	痛苦
1863年	画
1864年	画家
1865年	绘画
1866年	一对
1867年	宫
1868年	苍白
1869年	平底锅
1870年	控制板
1871年	裤子
1872年	纸
1873年	段落
1874年	父母
1875年	公园
1876年	停車處
1877年	议会
1878年	部分
1879年	参与者
1880年	参加
1881年	特定
1882年	特别
1883年	部分地
1884年	伙伴
1885年	派对
1886年	经过
1887年	通道
1888年	乘客
1889年	热情
1890年	护照
1891年	过去的
1892年	小路
1893年	病人
1894年	图案
1895年	支付
1896年	支付
1897年	和平
1898年	平静的
1899年	笔
1900	铅笔
1901年	一分钱
1902年	养老金1
1903年	人们
1904年	胡椒
1905年	每
1906年	百分
1907年	百分比
1908年	完美的
1909年	完美
1910年	履行
1911	表现
1912年	也许
1913	时期
1914	永恒的
1915年	允许
1916年	允许
1917	人
1918年	个人的
1919	性格
1920	亲自
1921年	看法
1922年	说服
1923年	宠物
1924年	汽油
1925年	阶段
1926年	现象
1927年	哲学
1928年	电话
1929	照片
1930年	照片
1931年	摄影师
1932年	摄影
1933年	短语
1934年	身体的
1935年	物理
1936年	钢琴
1937年	挑选
1938年	图片
1939	片
1940	猪
1941年	桩
1942年	飞行员
1943年	别针
1944年	粉色的
1945年	管道
1946年	沥青
1947年	地方
1948年	清楚的
1949	计划
1950	飞机
1951年	行星
1952年	规划
1953年	植物
1954年	塑料
1955年	盘子
1956年	平台
1957年	玩
1958年	玩家
1959	令人愉快的
1960	请
1961年	高兴
1962年	乐趣
1963年	很多
1964年	阴谋
1965年	加1
1966年	口袋
1967年	诗
1968年	诗人
1969	诗歌
1970	观点
1971年	尖
1972年	毒
1973年	有毒
1974年	警察
1975年	警察
1976年	政策
1977年	有礼貌的
1978年	政治的
1979	政治家
1980	政治
1981	污染
1982年	水池
1983	较差的
1984	流行音乐
1985	受欢迎的
1986年	知名度
1987	人口
1988	港口
1989	肖像
1990	姿势
1991	位置
1992	积极的
1993	具有
1994	拥有
1995	可能性
1996年	可能的
1997	可能
1998	邮政
1999	海报
2000	锅
2001年	土豆
2002年	潜在的
2003年	磅
2004年	倒
2005年	贫困
2006年	粉末
2007年	力量
2008年	强大的
2009	实际的
2010	实践
2011年	实践
2012	称赞
2013	祈祷
2014	祷告
2015年	预测
2016年	预言
2017年	更喜欢
2018	孕
2019	准备
2020	准备
2021年	准备好的
2022年	在场
2023年	当下
2024年	介绍
2025年	保存
2026年	总统
2027年	按
2028年	压力
2029	假装
2030年	漂亮的
2031年	防止
2032	以前的
2033	之前
2034	价格
2035	牧师
2036	基本的
2037	主要
2038	王子
2039	公主
2040	原则
2041	打印
2042	打印机
2043	印刷
2044	优先
2045	监狱
2046	囚犯
2047	隐私
2048	私人的
2049	奖
2050年	大概
2051	问题
2052	程序
2053	过程
2054	生产
2055	制作人
2056	产品
2057	生产
2058	职业
2059	专业的
2060	教授
2061	轮廓
2062	利润
2063	程序
2064	程序
2065	进步
2066	项目
2067	承诺
2068	推动
2069	发音
2070	证明
2071	恰当的
2072	适当地
2073	财产
2074	提议
2075	提出
2076	展望
2077	保护
2078	保护
2079	抗议
2080	自豪的
2081	证明
2082	提供
2083	心理学家
2084	心理学
2085	酒吧
2086	上市
2087	出版物
2088	发布
2089	拉
2090	惩治
2091	惩罚
2092	瞳孔
2093	购买
2094	纯的
2095	紫色的
2096	目的
2097	追求
2098	推
2099	放
2100	资质
2101	合格的
2102	合格
2103	质量
2104	数量
2105	四分之一
2106	女王
2107	问题
2108	队列
2109	快的
2110	迅速地
2111	安静的
2112	悄悄
2113	退出
2114	相当
2115	引述
2116	引用
2117	种族（竞赛）
2118	种族（人）
2119	赛车
2120	收音机
2121	铁路
2122	雨
2123	增加
2124	范围
2125	秩
2126	迅速的
2127	迅速
2128	稀有的
2129	很少
2130	速度
2131	相当
2132	生的
2133	抵达
2134	反应
2135	反应
2136	读
2137	读者
2138	阅读
2139	准备好
2140	真实的
2141	实际的
2142	现实
2143	意识到
2144	真的
2145	原因
2146	合理的
2147	记起
2148	收据
2149	收到
2150	最近的
2151	最近
2152	接待
2153	食谱
2154	认出
2155	推荐
2156	推荐
2157	记录
2158	记录
2159	恢复
2160	回收
2161	红色的
2162	减少
2163	减少
2164	参考
2165	参考
2166	反映
2167	拒绝1
2168	看待
2169	地区
2170	地区性的
2171	登记
2172	后悔
2173	常规的
2174	经常
2175	规定
2176	拒绝
2177	涉及
2178	有关的
2179	关系
2180	关系
2181	相对的
2182	相对地
2183	放松
2184	轻松
2185	放松
2186	发布
2187	相关的
2188	可靠的
2189	宽慰
2190	宗教
2191	宗教的
2192	依靠
2193	保持
2194	评论
2195	记住
2196	提醒
2197	偏僻的
2198	消除
2199	租
2200	修理
2201	重复
2202	重复
2203	代替
2204	回复
2205	报告
2206	记者
2207	代表
2208	代表
2209	名声
2210	要求
2211	要求
2212	要求
2213	救援
2214	研究
2215	研究员
2216	预订
2217	预订
2218	居民
2219	抵抗
2220	解决
2221	采取
2222	资源
2223	尊重
2224	回应
