Sr	Slova
828	východní
829	východní
830	snadný
831	jíst
832	hospodářský
833	ekonomika
834	okraj
835	Upravit
836	edice
837	editor
838	vzdělávat
839	vzdělaný
840	vzdělání
841	vzdělávací
842	účinek
843	efektivní
844	účinně
845	účinný
846	snaha
847	vejce
848	osm
849	osmnáct
850	osmdesát
851	buď
852	starší
853	zvolit
854	volby
855	elektrický
856	elektrický
857	elektřina
858	elektronický
859	živel
860	slon
861	jedenáct
862	jiný
863	někde jinde
864	e-mailem
865	v rozpacích
866	trapný
867	vynořit se
868	nouzový
869	emoce
870	emocionální
871	důraz
872	zdůraznit
873	zaměstnat
874	zaměstnanec
875	zaměstnavatel
876	zaměstnanost
877	prázdný
878	umožnit
879	setkání
880	podporovat
881	konec
882	konec
883	nepřítel
884	energie
885	zapojit
886	zasnoubený
887	motor
888	inženýr
889	inženýrství
890	zlepšit
891	užívat si
892	obrovský
893	dost
894	poptávka
895	zajistit
896	vstoupit
897	bavit
898	zábava
899	nadšení
900	nadšený
901	celý
902	zcela
903	vchod
904	vstup
905	životní prostředí
906	životního prostředí
907	epizoda
908	rovnat se
909	stejně
910	zařízení
911	chyba
912	uniknout
913	zvláště
914	esej
915	nezbytný
916	založit
917	majetek
918	odhad
919	etický
920	euro
921	hodnotit
922	dokonce
923	večer
924	událost
925	nakonec
926	vůbec
927	každý
928	všichni
929	každý den
930	každý
931	všechno
932	všude
933	důkaz
934	zlo
935	přesný
936	přesně tak
937	zkouška
938	zkouška
939	prozkoumat
940	příklad
941	vynikající
942	až na
943	výměna
944	vzrušený
945	vzrušení
946	vzrušující
947	omluva
948	výkonný
949	cvičení
950	výstava
951	existovat
952	existence
953	rozšířit
954	očekávat
955	očekávání
956	očekávaný
957	expedice
958	výdaj
959	drahý
960	Zkušenosti
961	zkušený
962	experiment
963	expert
964	vysvětlit
965	vysvětlení
966	explodovat
967	průzkum
968	prozkoumat
969	výbuch
970	vývozní
971	odhalit
972	vyjádřit
973	výraz
974	rozšířit
975	rozsah
976	externí
977	další
978	mimořádný
979	extrémní
980	velmi
981	oko
982	tvář
983	zařízení
984	skutečnost
985	faktor
986	továrna
987	selhat
988	selhání
989	veletrh
990	spravedlivě
991	víra
992	podzim
993	NEPRAVDIVÉ
994	známý
995	rodina
996	slavný
997	fanoušek
998	ozdobný
999	fantastický
1000	daleko
1001	farma
1002	zemědělec
1003	zemědělství
1004	fascinující
1005	móda
1006	módní
1007	rychle
1008	připevnit
1009	Tlustý
1010	otec
1011	chyba
1012	laskavost
1013	oblíbený
1014	strach
1015	Pírko
1016	Vlastnosti
1017	Únor
1018	poplatek
1019	krmit
1020	zpětná vazba
1021	cítit
1022	pocit
1023	chlapík
1024	ženský
1025	plot
1026	festival
1027	málo
1028	beletrie
1029	pole
1030	patnáct
1031	pátý
1032	padesáti
1033	boj
1034	bojování
1035	postava
1036	soubor
1037	vyplnit
1038	film
1039	finále
1040	Konečně
1041	finance
1042	finanční
1043	nalézt
1044	nález
1045	pokuta
1046	prst
1047	Dokončit
1048	oheň
1049	firma
1050	První
1051	za prvé
1052	Ryba
1053	rybolov
1054	vejít se
1055	zdatnost
1056	Pět
1057	opravit
1058	pevný
1059	vlajka
1060	plamen
1061	blikat
1062	byt
1063	flexibilní
1064	let
1065	plovák
1066	zaplavit
1067	podlaha
1068	mouka
1069	tok
1070	květ
1071	chřipka
1072	létat
1073	letící
1074	zaměřit se
1075	složit
1076	skládací
1077	lidový
1078	následovat
1079	Následující
1080	jídlo
1081	chodidlo
1082	Fotbal
1083	pro
1084	platnost
1085	zahraniční, cizí
1086	les
1087	navždy
1088	zapomenout
1089	odpustit
1090	Vidlička
1091	formulář
1092	formální
1093	bývalý
1094	naštěstí
1095	štěstí
1096	čtyřicet
1097	vpřed
1098	nalezeno
1099	čtyři
1100	čtrnáct
1101	Čtvrtý
1102	rám
1103	volný, uvolnit
1104	svoboda
1105	zmrazit
1106	frekvence
1107	často
1108	čerstvý
1109	pátek
1110	lednička
1111	přítel
1112	přátelský
1113	přátelství
1114	vystrašit
1115	vystrašený
1116	děsivý
1117	žába
1118	z
1119	přední
1120	zamrzlý
1121	ovoce
1122	potěr
1123	pohonné hmoty
1124	úplný
1125	plně
1126	zábava
1127	funkce
1128	fond
1129	základní
1130	financování
1131	legrační
1132	srst
1133	nábytek
1134	dále
1135	dále
1136	budoucnost
1137	získat
1138	galerie
1139	hra
1140	gang
1141	mezera
1142	garáž
1143	zahrada
1144	plyn
1145	brána
1146	shromáždit
1147	Všeobecné
1148	obvykle
1149	generovat
1150	generace
1151	štědrý
1152	žánr
1153	jemný
1154	gentleman
1155	zeměpis
1156	dostat
1157	duch
1158	obří
1159	dárek
1160	dívka
1161	přítelkyně
1162	dát
1163	rád
1164	sklenka
1165	globální
1166	rukavice
1167	jít
1168	fotbalová branka
1169	Bůh
1170	zlato
1171	golf
1172	dobrý
1173	Ahoj
1174	zboží
1175	řídit
1176	vláda
1177	urvat
1178	školní známka
1179	postupně
1180	absolvovat
1181	obilí
1182	velký
1183	dědeček
1184	babička
1185	prarodič
1186	grant
1187	tráva
1188	vděčný
1189	skvělý
1190	zelená
1191	pozdravit
1192	Šedá
1193	přízemní
1194	skupina
1195	růst
1196	růst
1197	záruka
1198	hlídat
1199	tipni si
1200	host
1201	průvodce
1202	vinen
1203	kytara
1204	pistole
1205	chlap
1206	tělocvična
1207	zvyk
1208	vlasy
1209	polovina
1210	hala
1211	ruka
1212	Rukojeť
1213	pověsit
1214	stát se
1215	šťastně
1216	štěstí
1217	šťastný
1218	tvrdý
1219	stěží
1220	poškodit
1221	škodlivý
1222	čepice
1223	nenávist
1224	mít
1225	muset modal
1226	on
1227	hlava
1228	bolest hlavy
1229	titulek
1230	zdraví
1231	zdravý
1232	slyšet
1233	sluch
1234	srdce
1235	teplo
1236	topení
1237	nebe
1238	těžce
1239	těžký
1240	pata
1241	výška
1242	helikoptéra
1243	peklo
1244	Ahoj
1245	Pomoc
1246	ochotný
1247	její
1248	tady
1249	hrdina
1250	její
1251	sebe
1252	váhat
1253	Ahoj
1254	Ahoj
1255	skrýt
1256	vysoký
1257	zvýraznit
1258	vysoce
1259	kopec
1260	mu
1261	sám
1262	pronájem
1263	jeho
1264	historický
1265	historický
1266	Dějiny
1267	udeřil
1268	hobby
1269	hokej
1270	držet
1271	otvor
1272	Dovolená
1273	dutý
1274	svatý
1275	Domov
1276	domácí práce
1277	upřímný
1278	čest
1279	naděje
1280	hrozný
1281	hrůza
1282	kůň
1283	NEMOCNICE
1284	hostitel
1285	horký
1286	hotel
1287	hodina
1288	Dům
1289	Domácnost
1290	bydlení
1291	jak
1292	nicméně
1293	obrovský
1294	člověk
1295	vtipný
1296	humor
1297	sto
1298	hladový
1299	lov
1300	lov
1301	hurikán
1302	pospěš si
1303	zranit
1304	manžel
1305	já
1306	led
1307	zmrzlina
1308	idea
1309	ideál
1310	identifikovat
1311	identita
1312	-li
1313	ignorovat
1314	nemocný
1315	ilegální
1316	nemoc
1317	ilustrovat
1318	ilustrace
1319	obraz
1320	imaginární
1321	představivost
1322	Představte si
1323	bezprostřední
1324	ihned
1325	přistěhovalec
1326	dopad
1327	netrpělivý
1328	naznačovat
1329	import
1330	důležitost
1331	Důležité
1332	vnucovat
1333	nemožné
1334	zapůsobit
1335	dojem
1336	dojem
1337	impozantní
1338	zlepšit
1339	zlepšení
1340	v
1341	palec
1342	incident
1343	zahrnout
1344	zahrnuta
1345	počítaje v to
1346	příjem
1347	zvýšit
1348	stále více
1349	neuvěřitelný
1350	neuvěřitelně
1351	Vskutku
1352	nezávislý
1353	naznačit
1354	nepřímý
1355	individuální
1356	krytý
1357	uvnitř
1358	průmyslový
1359	průmysl
1360	infekce
1361	vliv
1362	informovat
1363	neformální
1364	informace
1365	přísada
1366	počáteční
1367	zpočátku
1368	iniciativa
1369	zranit
1370	zraněný
1371	zranění
1372	vnitřní
1373	nevinný
1374	hmyz
1375	uvnitř
1376	porozumění
1377	trvat
1378	inspirovat
1379	Nainstalujte
1380	instance
1381	namísto
1382	ústav
1383	instituce
1384	návod
1385	instruktor
1386	nástroj
1387	pojištění
1388	inteligence
1389	inteligentní
1390	zamýšlet
1391	zamýšlený
1392	intenzivní
1393	záměr
1394	zájem
1395	zájem
1396	zajímavý
1397	vnitřní
1398	mezinárodní
1399	Internet
1400	interpretovat
1401	přerušit
1402	rozhovor
1403	do
1404	představit
1405	úvod
1406	vymyslet
1407	vynález
1408	investovat
1409	vyšetřovat
1410	vyšetřování
1411	investice
1412	pozvání
1413	pozvat
1414	zapojit
1415	zapojený
1416	žehlička
1417	ostrov
1418	problém
1419	TO
1420	to
1421	položka
1422	své
1423	sám
1424	Bunda
1425	džem
1426	leden
1427	jazz
1428	džíny
1429	šperky
1430	práce
1431	připojit
1432	žert
1433	časopis
1434	novinář
1435	cesta
1436	radost
1437	soudce
1438	rozsudek
1439	džus
1440	červenec
1441	skok
1442	červen
1443	juniorský
1444	prostě
1445	spravedlnost
1446	ospravedlnit
1447	horlivý
1448	držet
1449	klíč
1450	klávesnice
1451	kop
1452	dítě
1453	zabít
1454	zabíjení
1455	kilometr
1456	druh (typ)
1457	laskavý (starostlivý)
1458	král
1459	polibek
1460	kuchyně
1461	koleno
1462	nůž
1463	klepání
1464	znát
1465	znalost
1466	laboratoř
1467	označení
1468	laboratoř
1469	práce
1470	nedostatek
1471	dáma
1472	jezero
1473	svítilna
1474	přistát
1475	krajina
1476	Jazyk
1477	notebook
1478	velký
1479	převážně
1480	poslední 1 (konečná)
1481	last1 (trvá to dlouho)
1482	pozdě
1483	později
1484	nejnovější
1485	smích
1486	smích
1487	zahájení
1488	zákon
1489	právník
1490	položit
1491	vrstva
1492	líný
1493	vést1
1494	vůdce
1495	vedení lidí
1496	vedoucí
1497	list
1498	liga
1499	opírat se
1500	Učit se
1501	učení se
1502	nejméně
1503	kůže
1504	odejít
1505	přednáška
1506	vlevo, odjet
1507	noha
1508	právní
1509	volný čas
1510	citrón
1511	půjčovat
1512	délka
1513	méně
1514	lekce
1515	nechat
1516	dopis
1517	úroveň
1518	knihovna
1519	licence
1520	lež 1
1521	lhát2 (říkat lež)
1522	život
1523	životní styl
1524	výtah
1525	světlo (ze slunce/lampy)
1526	lehký (ne těžký)
1527	jako (podobný)
1528	lajkovat (považovat koho za příjemné)
1529	n.
1530	pravděpodobně
1531	omezit
1532	omezený
1533	čára
1534	odkaz
1535	lev
1536	ret
1537	kapalina
1538	seznam
1539	poslouchat
1540	posluchač
1541	literatura
1542	málo
1543	žít 1
1544	žít2
1545	živý
1546	živobytí
1547	zatížení
1548	půjčka
1549	místní
1550	lokalizovat
1551	nachází se
1552	umístění
1553	zámek
1554	logický
1555	osamělý
1556	dlouhý1
1557	dlouhodobý
1558	Koukni se
1559	volný
1560	pán
1561	nákladní auto
1562	prohrát
1563	ztráta
1564	ztracený
1565	hodně
1566	hlasitý
1567	hlasitě
1568	milovat
1569	půvabný
1570	nízký
1571	dolní
1572	štěstí
1573	šťastný
1574	oběd
1575	plíce
1576	luxus
1577	stroj
1578	šílený
1579	časopis
1580	kouzlo
1581	pošta
1582	hlavní
1583	hlavně
1584	udržovat
1585	hlavní, důležitý
1586	většina
1587	udělat
1588	mužský
1589	nákupní centrum
1590	muž
1591	spravovat
1592	řízení
1593	manažer
1594	způsob
1595	mnoho
1596	mapa
1597	březen
1598	označit
1599	trh
1600	marketing
1601	manželství
1602	ženatý
1603	vdávat se
1604	Hmotnost
1605	masivní
1606	mistr
1607	zápas (soutěž/korespondence)
1608	vhodný
1609	materiál
1610	matematika
1611	matematika
1612	hmota
1613	maximum
1614	Smět
1615	může modální
1616	možná
1617	mě
1618	jídlo
1619	znamenat
1620	význam
1621	prostředek
1622	mezitím
1623	opatření
1624	měření
1625	maso
1626	média
1627	lékařský
1628	lék
1629	střední
1630	setkat
1631	Setkání
1632	tát
1633	člen
1634	Paměť
1635	duševní
1636	zmínit se
1637	Jídelní lístek
1638	nepořádek
1639	zpráva
1640	kov
1641	metoda
1642	Metr
1643	střední
1644	půlnoc
1645	může být modální
1646	mírný
1647	míle
1648	válečný
1649	mléko
1650	milionové číslo
1651	mysl
1652	můj (patří mně)
1653	moje (díra v zemi)
1654	minerální
1655	minimální
1656	ministr
1657	Méně důležitý
1658	menšina
1659	minuta1
1660	zrcadlo
1661	slečna, minout
1662	chybějící
1663	mise
1664	chyba
1665	směs
1666	smíšený
1667	směs
1668	mobilní, pohybliví
1669	Modelka
1670	moderní
1671	upravit
1672	okamžik
1673	pondělí
1674	peníze
1675	monitor
1676	opice
1677	Měsíc
1678	nálada
1679	měsíc
1680	morální
1681	více
1682	ráno
1683	většina
1684	většinou
1685	matka
1686	motor
1687	motocykl
1688	namontovat
1689	hora
1690	myš
1691	ústa
1692	přestěhovat se
1693	hnutí
1694	film
1695	hodně
1696	bláto
1697	násobek
1698	násobit
1699	maminka
1700	vražda
1701	sval
1702	muzeum
1703	hudba
1704	hudební
1705	hudebník
1706	musí modální
1707	můj
1708	moje maličkost
1709	tajemný
1710	tajemství
1711	nehet
1712	název
1713	příběh
1714	úzký
1715	národ
1716	národní
1717	rodák
1718	přírodní
1719	přirozeně
1720	Příroda
1721	u
1722	téměř
1723	elegantní
1724	nezbytně
1725	nutné
1726	krk
1727	potřeba
1728	jehla
1729	negativní
1730	soused
1731	sousedství
1732	ani
1733	nerv
1734	nervový
1735	síť
1736	síť
1737	nikdy
1738	nicméně
1739	Nový
1740	zprávy
1741	noviny
1742	další
1743	vedle
1744	pěkný
1745	noc
1746	noční můra
1747	devět
1748	devatenáct
1749	devadesát
1750	Ne
1751	nikdo
1752	nikdo
1753	hluk
1754	hlučný
1755	žádný
1756	ani
1757	normální
1758	normálně
1759	severní
1760	severní
1761	nos
1762	ne
1763	Poznámka
1764	nic
1765	oznámení
1766	představa
1767	román
1768	listopad
1769	Nyní
1770	nikde
1771	jaderné
1772	číslo
1773	četné
1774	zdravotní sestřička
1775	matice
1776	poslouchat
1777	objekt
1778	objektivní
1779	povinnost
1780	pozorování
1781	pozorovat
1782	získat
1783	zřejmé
1784	očividně
1785	příležitost
1786	občas
1787	nastat
1788	oceán
1789	hodin
1790	říjen
1791	zvláštní
1792	z
1793	vypnuto
1794	útok
1795	urazit
1796	urážlivý
1797	nabídka
1798	kancelář
1799	důstojník
1800	oficiální
1801	často
1802	Ach
1803	olej
1804	OK
1805	starý
1806	staromódní
1807	na
1808	jednou
1809	jeden
1810	cibule
1811	online
1812	pouze
1813	na
1814	OTEVŘENO
1815	otevírací
1816	fungovat
1817	úkon
1818	názor
1819	oponent
1820	příležitost
1821	oponovat
1822	protichůdný
1823	naproti
1824	opozice
1825	volba
1826	nebo
1827	oranžový
1828	objednat
1829	obyčejný
1830	orgán
1831	organizace
1832	organizovat
1833	organizovaný
1834	organizátor
1835	původ
1836	originál
1837	původně
1838	jiný
1839	v opačném případě
1840	měl by
1841	náš
1842	naše
1843	sebe
1844	ven
1845	výsledek
1846	venkovní
1847	venku
1848	vnější
1849	obrys
1850	mimo
1851	trouba
1852	přes
1853	celkově
1854	dlužím
1855	vlastní
1856	majitel
1857	tempo
1858	balíček
1859	balík
1860	strana
1861	bolest
1862	bolestivý
1863	malovat
1864	malíř
1865	malování
1866	pár
1867	palác
1868	bledý
1869	pánev
1870	panel
1871	kalhoty
1872	papír
1873	odstavec
1874	rodič
1875	park
1876	parkoviště
1877	parlament
1878	část
1879	účastník
1880	účastnit se
1881	konkrétní
1882	zejména
1883	částečně
1884	partner
1885	oslava
1886	složit
1887	průchod
1888	cestující
1889	vášeň
1890	cestovní pas
1891	minulý
1892	cesta
1893	trpěliví
1894	vzor
1895	platit
1896	Způsob platby
1897	mír
1898	klidný
1899	pero
1900	tužka
1901	penny
1902	důchod1
1903	lidé
1904	pepř
1905	za
1906	procento
1907	procento
1908	perfektní
1909	dokonale
1910	provést
1911	výkon
1912	možná
1913	doba
1914	trvalý
1915	povolení
1916	povolení
1917	osoba
1918	osobní
1919	osobnost
1920	osobně
1921	perspektivní
1922	přesvědčit
1923	mazlíček
1924	benzín
1925	fáze
1926	jev
1927	filozofie
1928	telefon
1929	fotografie
1930	fotografie
1931	fotograf
1932	fotografování
1933	fráze
1934	fyzický
1935	fyzika
1936	klavír
1937	výběr
1938	obrázek
1939	kus
1940	prase
1941	hromada
1942	pilot
1943	kolík
1944	růžový
1945	trubka
1946	hřiště
1947	místo
1948	prostý
1949	plán
1950	letadlo
1951	planeta
1952	plánování
1953	rostlina
1954	plastický
1955	talíř
1956	plošina
1957	hrát si
1958	hráč
1959	příjemný
1960	prosím
1961	potěšen
1962	potěšení
1963	spousta
1964	spiknutí
1965	plus1
1966	kapsa
1967	báseň
1968	básník
1969	poezie
1970	směřovat
1971	špičatý
1972	jed
1973	jedovatý
1974	POLICIE
1975	policista
1976	politika
1977	zdvořilý
1978	politický
1979	politik
1980	politika
1981	znečištění
1982	bazén
